restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.14999999999976,50.14999999999976,151.30000000000018,942,7.758534908294678,4,0,0,0,True
1,random_one_start,296.15,51.09999999999985,51.09999999999985,245.05000000000013,1075,7.244872093200684,4,0,0,0,True
2,random_one_start,296.85,49.50000000000007,49.50000000000007,247.34999999999997,1015,6.65643310546875,4,0,0,0,True
3,random_one_start,330.19999999999993,48.44999999999945,48.449999999999456,281.75000000000045,1016,6.624238729476929,4,0,0,0,True
4,random_one_start,234.10000000000002,50.549999999999386,50.549999999999386,183.55000000000064,1021,6.449418067932129,4,0,0,0,True
5,random_one_start,358.8,50.39999999999999,50.39999999999999,308.40000000000003,1070,6.3119800090789795,4,0,0,0,True
6,random_one_start,315.9,50.89999999999972,50.89999999999973,265.0000000000002,1080,6.5015881061553955,4,0,0,0,True
7,random_one_start,381.15,49.0999999999997,49.0999999999997,332.0500000000003,1137,6.386036157608032,4,0,0,0,True
8,random_one_start,273.95000000000005,49.650000000000176,49.650000000000176,224.29999999999987,1044,6.502854108810425,4,0,0,0,True
9,random_one_start,410.0,49.650000000000105,49.650000000000105,360.3499999999999,913,6.445034980773926,4,0,0,0,True
10,random_one_start,322.45000000000005,50.19999999999982,50.199999999999825,272.2500000000002,1070,6.330641984939575,4,0,0,0,True
11,random_one_start,308.55,51.499999999999936,51.499999999999936,257.05000000000007,1119,6.386963129043579,4,0,0,0,True
12,random_one_start,395.85,50.69999999999988,50.69999999999988,345.15000000000015,972,6.394377946853638,4,0,0,0,True
13,random_one_start,312.30000000000007,51.24999999999978,51.24999999999978,261.0500000000003,1049,6.4652321338653564,4,0,0,0,True
14,random_one_start,397.75,48.80000000000014,48.80000000000014,348.9499999999999,1144,6.3907151222229,4,0,0,0,True
15,random_one_start,292.0,49.4999999999994,49.49999999999941,242.5000000000006,1006,6.4756481647491455,4,0,0,0,True
16,random_one_start,380.04999999999995,50.44999999999997,50.44999999999997,329.59999999999997,1052,6.418384075164795,4,0,0,0,True
17,random_one_start,331.3,49.50000000000017,49.50000000000017,281.79999999999984,1125,6.408021926879883,4,0,0,0,True
18,random_one_start,295.8,49.84999999999998,49.84999999999998,245.95000000000005,1118,6.396199941635132,4,0,0,0,True
