restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.24999999999978,50.24999999999978,151.20000000000016,1329,6.9211530685424805,4,0,0,0,True
1,random_one_start,466.35,49.04999999999992,49.04999999999992,417.3000000000001,1339,6.6918840408325195,4,0,0,0,True
2,random_one_start,309.9,51.14999999999988,51.14999999999988,258.7500000000001,1352,6.547960042953491,4,0,0,0,True
3,random_one_start,343.15000000000003,49.34999999999953,49.34999999999954,293.8000000000005,1254,6.650040864944458,4,0,0,0,True
4,random_one_start,355.1,50.79999999999963,50.79999999999963,304.3000000000004,1361,6.999919891357422,4,0,0,0,True
5,random_one_start,332.6,50.89999999999983,50.89999999999984,281.7000000000002,1236,7.0989439487457275,4,0,0,0,True
6,random_one_start,371.7,51.8,51.8,319.9,1313,6.5749311447143555,4,0,0,0,True
7,random_one_start,349.6,49.35000000000009,49.35000000000009,300.24999999999994,1311,6.79615592956543,4,0,0,0,True
8,random_one_start,307.6,48.94999999999972,48.94999999999972,258.6500000000003,1304,6.489275932312012,4,0,0,0,True
9,random_one_start,253.60000000000002,51.19999999999938,51.19999999999938,202.40000000000066,1387,6.4511988162994385,4,0,0,0,True
10,random_one_start,334.20000000000005,48.899999999999835,48.899999999999835,285.3000000000002,1288,6.532971143722534,4,0,0,0,True
11,random_one_start,267.4,50.25000000000034,50.25000000000034,217.14999999999964,1352,6.758267164230347,4,0,0,0,True
12,random_one_start,331.05,49.35000000000009,49.35000000000009,281.69999999999993,1239,7.306438207626343,4,0,0,0,True
13,random_one_start,356.5,49.99999999999984,49.99999999999984,306.50000000000017,1375,7.990273952484131,4,0,0,0,True
14,random_one_start,347.4,52.09999999999981,52.09999999999981,295.3000000000002,1384,8.012320756912231,4,0,0,0,True
15,random_one_start,274.2,49.79999999999968,49.79999999999968,224.40000000000032,1338,7.111605882644653,4,0,0,0,True
16,random_one_start,321.20000000000005,52.04999999999968,52.049999999999685,269.1500000000004,1415,7.500186920166016,4,0,0,0,True
17,random_one_start,291.35,50.149999999999466,50.149999999999466,241.20000000000056,1372,6.869818925857544,4,0,0,0,True
18,random_one_start,293.95000000000005,49.55000000000018,49.550000000000196,244.39999999999986,1320,7.038975238800049,4,0,0,0,True
19,random_one_start,350.4,50.749999999999986,50.749999999999986,299.65,1369,6.59209132194519,4,0,0,0,True
20,random_one_start,281.04999999999995,52.94999999999985,52.949999999999854,228.1000000000001,1307,6.830357074737549,4,0,0,0,True
21,random_one_start,298.35,50.09999999999991,50.09999999999991,248.2500000000001,1301,6.991815090179443,4,0,0,0,True
22,random_one_start,302.9,50.54999999999971,50.54999999999971,252.35000000000025,1245,6.636598110198975,4,0,0,0,True
23,random_one_start,326.75,51.29999999999976,51.29999999999976,275.4500000000002,1357,6.519757032394409,4,0,0,0,True
24,random_one_start,343.29999999999995,49.64999999999979,49.64999999999979,293.65000000000015,1458,6.523943901062012,4,0,0,0,True
25,random_one_start,279.55,51.14999999999988,51.14999999999989,228.40000000000015,1483,6.499835014343262,4,0,0,0,True
26,random_one_start,302.05000000000007,50.30000000000001,50.30000000000001,251.75000000000006,1346,6.5135579109191895,4,0,0,0,True
27,random_one_start,230.40000000000003,50.1500000000005,50.1500000000005,180.24999999999955,1291,6.595404863357544,4,0,0,0,True
28,random_one_start,315.05000000000007,51.30000000000007,51.30000000000007,263.75,1351,6.741595983505249,4,0,0,0,True
29,random_one_start,282.9,50.59999999999971,50.59999999999971,232.30000000000027,1328,7.131282806396484,4,0,0,0,True
