restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.84999999999971,50.84999999999971,150.60000000000022,1945,6.73191499710083,4,0,0,0,True
1,random_one_start,299.05000000000007,50.34999999999991,50.34999999999993,248.70000000000016,1845,6.74824595451355,4,0,0,0,True
2,random_one_start,298.15,49.499999999999574,49.499999999999574,248.6500000000004,2021,6.685667991638184,4,0,0,0,True
3,random_one_start,389.3,50.74999999999976,50.74999999999976,338.55000000000024,1933,6.731578826904297,4,0,0,0,True
4,random_one_start,402.1,50.24999999999961,50.24999999999961,351.8500000000004,2050,6.5892438888549805,4,0,0,0,True
5,random_one_start,316.2,52.29999999999979,52.29999999999979,263.9000000000002,1938,6.612560033798218,4,0,0,0,True
6,random_one_start,264.5,51.34999999999993,51.34999999999993,213.15000000000006,1932,6.83104681968689,4,0,0,0,True
7,random_one_start,361.70000000000005,52.150000000000276,52.150000000000276,309.5499999999998,1866,6.683700799942017,4,0,0,0,True
8,random_one_start,318.79999999999995,50.299999999999386,50.299999999999386,268.50000000000057,1937,6.623754024505615,4,0,0,0,True
9,random_one_start,357.75,50.99999999999971,50.99999999999971,306.7500000000003,2036,6.736706018447876,4,0,0,0,True
10,random_one_start,381.35,49.599999999999895,49.599999999999895,331.7500000000001,1875,6.6538708209991455,4,0,0,0,True
11,random_one_start,262.40000000000003,52.99999999999978,52.99999999999978,209.40000000000026,1992,6.518403053283691,4,0,0,0,True
12,random_one_start,235.64999999999998,50.2500000000002,50.2500000000002,185.39999999999978,1822,6.714393854141235,4,0,0,0,True
13,random_one_start,352.45000000000005,49.79999999999944,49.79999999999944,302.6500000000006,1886,6.60362696647644,4,0,0,0,True
14,random_one_start,263.45,50.049999999999415,50.04999999999942,213.40000000000057,1874,6.590070962905884,4,0,0,0,True
15,random_one_start,313.09999999999997,52.14999999999984,52.14999999999984,260.9500000000001,1990,6.580681085586548,4,0,0,0,True
16,random_one_start,235.45000000000005,50.54999999999959,50.54999999999959,184.90000000000046,1815,6.7283971309661865,4,0,0,0,True
17,random_one_start,353.05000000000007,49.59999999999984,49.59999999999984,303.4500000000002,1906,6.927527904510498,4,0,0,0,True
18,random_one_start,352.09999999999997,51.20000000000017,51.20000000000017,300.8999999999998,1886,7.032262086868286,4,0,0,0,True
19,random_one_start,325.4,50.74999999999954,50.749999999999545,274.65000000000043,1823,6.952742099761963,4,0,0,0,True
20,random_one_start,401.25,49.94999999999999,49.94999999999999,351.3,1837,6.993683099746704,4,0,0,0,True
21,random_one_start,232.89999999999998,50.949999999999775,50.949999999999775,181.95000000000022,1859,6.596729040145874,4,0,0,0,True
22,random_one_start,421.9,50.49999999999989,50.49999999999989,371.4000000000001,1968,6.612007141113281,4,0,0,0,True
23,random_one_start,356.35,50.799999999999976,50.79999999999999,305.55000000000007,1933,6.558459997177124,4,0,0,0,True
24,random_one_start,458.0,49.74999999999976,49.74999999999976,408.2500000000002,1885,6.62239408493042,4,0,0,0,True
25,random_one_start,321.8,51.54999999999953,51.54999999999953,270.25000000000045,1928,6.580496788024902,4,0,0,0,True
26,random_one_start,330.15,50.7999999999994,50.7999999999994,279.3500000000006,1788,6.517716884613037,4,0,0,0,True
27,random_one_start,343.85,49.59999999999943,49.59999999999943,294.25000000000057,1900,6.535703182220459,4,0,0,0,True
28,random_one_start,355.50000000000006,49.69999999999996,49.69999999999996,305.80000000000007,1826,6.5452752113342285,4,0,0,0,True
29,random_one_start,318.15,50.450000000000216,50.450000000000216,267.69999999999976,1877,7.052577018737793,4,0,0,0,True
