operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,1,3,4,310
1,0,1,0,machine,4,3,7,557
2,0,2,1,machine,7,4,11,1164
3,0,3,0,machine,11,2,13,1643
4,1,0,4,human,1,4,5,2430
5,1,1,2,machine,6,4,10,2855
6,1,2,1,machine,11,2,13,3337
7,1,3,1,machine,13,3,16,3891
8,2,0,6,human,0,5,5,4719
9,2,1,4,human,5,3,8,5149
10,2,2,2,machine,11,3,14,5582
11,2,3,3,machine,14,4,18,6187
12,3,0,2,machine,1,2,3,6653
13,3,1,1,machine,3,3,6,7145
14,3,2,3,machine,7,4,11,7812
15,3,3,3,machine,11,2,13,8357
