operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,2,machine,0,2,2,124
1,0,1,0,machine,2,3,5,555
2,0,2,3,machine,6,4,10,1283
3,0,3,0,machine,11,2,13,1643
4,1,0,4,human,1,4,5,2430
5,1,1,6,human,5,5,10,3092
6,1,2,3,machine,10,2,12,3460
7,1,3,3,machine,14,3,17,4014
8,2,0,3,machine,0,4,4,4541
9,2,1,1,machine,5,2,7,4963
10,2,2,0,machine,7,3,10,5456
11,2,3,1,machine,11,4,15,6064
12,3,0,5,human,1,3,4,6838
13,3,1,4,human,5,4,9,7330
14,3,2,2,machine,9,4,13,7754
15,3,3,0,machine,13,2,15,8173
