operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,4,human,0,3,3,248
1,0,1,1,machine,3,3,6,617
2,0,2,3,machine,7,4,11,1284
3,0,3,2,machine,11,2,13,1767
4,1,0,3,machine,2,3,5,2370
5,1,1,4,human,5,5,10,2974
6,1,2,1,machine,10,2,12,3336
7,1,3,3,machine,12,3,15,4012
8,2,0,5,human,0,5,5,4660
9,2,1,2,machine,5,2,7,5025
10,2,2,1,machine,7,3,10,5517
11,2,3,0,machine,10,4,14,6003
12,3,0,1,machine,1,2,3,6591
13,3,1,0,machine,3,3,6,7084
14,3,2,5,human,7,5,12,7931
15,3,3,2,machine,14,2,16,8298
