operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,0,machine,0,2,2,0
1,0,1,2,machine,2,3,5,677
2,0,2,2,machine,6,4,10,1223
3,0,3,2,machine,10,2,12,1766
4,1,0,5,human,0,4,4,2489
5,1,1,5,human,4,5,9,3032
6,1,2,0,machine,9,2,11,3273
7,1,3,0,machine,13,3,16,3830
8,2,0,6,human,1,5,6,4720
9,2,1,0,machine,6,2,8,4902
10,2,2,3,machine,9,3,12,5641
11,2,3,2,machine,12,4,16,6125
12,3,0,4,human,0,3,3,6776
13,3,1,0,machine,3,3,6,7084
14,3,2,1,machine,6,4,10,7691
15,3,3,0,machine,11,2,13,8171
