operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,0,machine,0,2,2,0
1,0,1,0,machine,2,3,5,555
2,0,2,2,machine,5,4,9,1222
3,0,3,2,machine,11,2,13,1767
4,1,0,4,human,1,4,5,2430
5,1,1,5,human,5,5,10,3033
6,1,2,3,machine,12,2,14,3462
7,1,3,3,machine,14,3,17,4014
8,2,0,6,human,0,5,5,4719
9,2,1,3,machine,6,2,8,5088
10,2,2,3,machine,8,3,11,5640
11,2,3,1,machine,12,4,16,6065
12,3,0,5,human,0,3,3,6837
13,3,1,3,machine,3,3,6,7267
14,3,2,0,machine,6,4,10,7631
15,3,3,0,machine,10,2,12,8170
