operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,0,3,3,309
1,0,1,1,machine,3,3,6,617
2,0,2,1,machine,6,4,10,1163
3,0,3,0,machine,10,2,12,1642
4,1,0,6,human,2,4,6,2551
5,1,1,2,machine,6,4,10,2855
6,1,2,1,machine,10,2,12,3336
7,1,3,0,machine,12,3,15,3829
8,2,0,2,machine,0,4,4,4481
9,2,1,5,human,5,3,8,5210
10,2,2,3,machine,8,3,11,5640
11,2,3,3,machine,11,4,15,6184
12,3,0,3,machine,0,2,2,6714
13,3,1,4,human,2,4,6,7327
14,3,2,0,machine,6,4,10,7631
15,3,3,2,machine,10,2,12,8294
