operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,0,3,3,309
1,0,1,2,machine,3,3,6,678
2,0,2,2,machine,7,4,11,1224
3,0,3,0,machine,14,2,16,1646
4,1,0,6,human,0,4,4,2549
5,1,1,1,machine,4,4,8,2793
6,1,2,0,machine,8,2,10,3272
7,1,3,2,machine,11,3,14,3950
8,2,0,4,human,0,5,5,4601
9,2,1,5,human,8,3,11,5213
10,2,2,0,machine,11,3,14,5460
11,2,3,2,machine,14,4,18,6127
12,3,0,2,machine,1,2,3,6653
13,3,1,0,machine,3,3,6,7084
14,3,2,3,machine,6,4,10,7811
15,3,3,1,machine,12,2,14,8234
