operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,6,human,0,3,3,370
1,0,1,1,machine,3,3,6,617
2,0,2,1,machine,6,4,10,1163
3,0,3,3,machine,11,2,13,1829
4,1,0,4,human,0,4,4,2429
5,1,1,6,human,4,5,9,3091
6,1,2,2,machine,9,2,11,3397
7,1,3,1,machine,12,3,15,3890
8,2,0,3,machine,0,4,4,4541
9,2,1,3,machine,4,2,6,5086
10,2,2,0,machine,6,3,9,5455
11,2,3,2,machine,11,4,15,6124
12,3,0,5,human,0,3,3,6837
13,3,1,0,machine,3,3,6,7084
14,3,2,3,machine,6,4,10,7811
15,3,3,0,machine,10,2,12,8170
