operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,1,machine,2,2,4,64
1,0,1,4,human,4,4,8,801
2,0,2,2,machine,10,4,14,1227
3,0,3,2,machine,14,2,16,1770
4,1,0,5,human,1,4,5,2490
5,1,1,0,machine,5,4,9,2734
6,1,2,0,machine,14,2,16,3278
7,1,3,1,machine,16,3,19,3894
8,2,0,6,human,0,5,5,4719
9,2,1,2,machine,5,2,7,5025
10,2,2,1,machine,7,3,10,5517
11,2,3,1,machine,11,4,15,6064
12,3,0,4,human,0,3,3,6776
13,3,1,3,machine,3,3,6,7267
14,3,2,3,machine,7,4,11,7812
15,3,3,3,machine,13,2,15,8359
