restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,53.94999999999971,53.94999999999971,147.50000000000023,907,3.262110948562622,4,0,0,0,True
1,random_one_start,355.95000000000005,54.550000000000495,54.55000000000051,301.3999999999995,980,3.2934226989746094,4,0,0,0,True
2,random_one_start,310.70000000000005,50.59999999999988,50.59999999999988,260.10000000000014,975,3.2651689052581787,4,0,0,0,True
3,random_one_start,331.35,52.249999999999936,52.24999999999994,279.1000000000001,1123,3.2653660774230957,4,0,0,0,True
4,random_one_start,365.4,52.44999999999978,52.4499999999998,312.9500000000002,952,3.303708076477051,4,0,0,0,True
5,random_one_start,248.39999999999998,51.99999999999976,51.99999999999976,196.4000000000002,1083,3.225235939025879,4,0,0,0,True
6,random_one_start,329.95,50.89999999999986,50.89999999999986,279.0500000000001,1142,3.2334578037261963,4,0,0,0,True
7,random_one_start,269.40000000000003,51.550000000000026,51.550000000000026,217.85000000000002,1025,3.257927894592285,4,0,0,0,True
8,random_one_start,332.8,52.199999999999946,52.199999999999946,280.6000000000001,1083,3.2962870597839355,4,0,0,0,True
9,random_one_start,281.65,53.35000000000001,53.35000000000001,228.29999999999995,1003,3.2682619094848633,4,0,0,0,True
10,random_one_start,344.95,52.14999999999949,52.14999999999949,292.8000000000005,995,3.320000171661377,4,0,0,0,True
11,random_one_start,329.59999999999997,54.9999999999993,54.999999999999304,274.60000000000065,1073,3.2862629890441895,4,0,0,0,True
12,random_one_start,403.79999999999995,52.85000000000022,52.85000000000022,350.9499999999997,1165,3.2331948280334473,4,0,0,0,True
13,random_one_start,305.54999999999995,51.699999999999626,51.699999999999626,253.85000000000034,992,3.291604995727539,4,0,0,0,True
14,random_one_start,277.45000000000005,53.049999999999756,53.049999999999756,224.4000000000003,1026,3.2411117553710938,4,0,0,0,True
15,random_one_start,324.6,53.450000000000145,53.450000000000145,271.14999999999986,1059,3.28696608543396,4,0,0,0,True
16,random_one_start,317.65,54.499999999999794,54.499999999999794,263.1500000000002,993,3.2749838829040527,4,0,0,0,True
17,random_one_start,255.3,50.04999999999997,50.04999999999997,205.25000000000006,1093,3.224726915359497,4,0,0,0,True
18,random_one_start,179.39999999999998,53.300000000000026,53.30000000000004,126.09999999999995,1012,3.2407166957855225,4,0,0,0,True
19,random_one_start,231.60000000000002,51.20000000000001,51.20000000000001,180.4,965,3.2985939979553223,4,0,0,0,True
20,random_one_start,323.1,52.399999999999906,52.399999999999906,270.7000000000001,1015,3.2523300647735596,4,0,0,0,True
21,random_one_start,328.09999999999997,51.94999999999991,51.94999999999991,276.15000000000003,965,3.2416508197784424,4,0,0,0,True
22,random_one_start,320.5,51.89999999999982,51.89999999999982,268.6000000000002,916,3.283396005630493,4,0,0,0,True
23,random_one_start,324.1,53.95000000000014,53.95000000000014,270.14999999999986,1110,3.2794978618621826,4,0,0,0,True
24,random_one_start,323.75,52.29999999999944,52.29999999999944,271.45000000000056,1005,3.2246878147125244,4,0,0,0,True
25,random_one_start,321.70000000000005,50.44999999999942,50.44999999999942,271.2500000000006,1097,3.324486017227173,4,0,0,0,True
26,random_one_start,283.29999999999995,53.79999999999986,53.79999999999986,229.50000000000009,972,3.344896078109741,4,0,0,0,True
27,random_one_start,305.75,51.54999999999994,51.54999999999994,254.20000000000005,1058,3.3333680629730225,4,0,0,0,True
28,random_one_start,370.6,51.50000000000005,51.500000000000064,319.09999999999997,1052,3.4292430877685547,4,0,0,0,True
29,random_one_start,383.0,52.64999999999976,52.64999999999976,330.35000000000025,996,3.309157133102417,4,0,0,0,True
