operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,6,human,0,3,3,370
1,0,1,1,machine,3,3,6,617
2,0,2,3,machine,6,4,10,1283
3,0,3,3,machine,10,2,12,1828
4,1,0,5,human,0,4,4,2489
5,1,1,6,human,4,5,9,3091
6,1,2,2,machine,9,2,11,3397
7,1,3,3,machine,14,3,17,4014
8,2,0,3,machine,0,4,4,4541
9,2,1,5,human,4,3,7,5209
10,2,2,1,machine,7,3,10,5517
11,2,3,1,machine,14,4,18,6067
12,3,0,0,machine,1,2,3,6529
13,3,1,0,machine,3,3,6,7084
14,3,2,0,machine,6,4,10,7631
15,3,3,1,machine,11,2,13,8233
