restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.89999999999945,50.89999999999945,150.55000000000047,2824,7.36934494972229,4,0,0,0,True
1,random_one_start,326.04999999999995,51.20000000000011,51.20000000000011,274.84999999999985,2886,6.555006980895996,4,0,0,0,True
2,random_one_start,441.54999999999995,51.299999999999784,51.299999999999784,390.25000000000017,2786,6.719268083572388,4,0,0,0,True
3,random_one_start,367.35,49.19999999999941,49.19999999999942,318.1500000000006,2819,6.971081018447876,4,0,0,0,True
4,random_one_start,354.65,51.69999999999916,51.699999999999164,302.95000000000084,2795,6.871490240097046,4,0,0,0,True
5,random_one_start,301.75,50.199999999999804,50.199999999999804,251.55000000000018,2749,7.085154056549072,4,0,0,0,True
6,random_one_start,286.7,50.0499999999997,50.0499999999997,236.6500000000003,2747,6.883800029754639,4,0,0,0,True
7,random_one_start,268.85,51.449999999999136,51.449999999999136,217.4000000000009,2765,8.758584022521973,4,0,0,0,True
8,random_one_start,329.90000000000003,50.60000000000015,50.60000000000015,279.2999999999999,2625,9.464773893356323,4,0,0,0,True
9,random_one_start,324.79999999999995,52.04999999999957,52.04999999999957,272.7500000000004,2844,8.787921905517578,4,0,0,0,True
10,random_one_start,289.65000000000003,49.64999999999892,49.649999999998926,240.0000000000011,2880,8.455950260162354,4,0,0,0,True
11,random_one_start,323.5,51.849999999999746,51.849999999999746,271.65000000000026,2861,8.191543102264404,4,0,0,0,True
12,random_one_start,401.75,49.99999999999978,49.99999999999979,351.7500000000002,2775,7.106153964996338,4,0,0,0,True
13,random_one_start,290.95000000000005,51.05000000000004,51.05000000000004,239.9,2807,6.6185877323150635,4,0,0,0,True
14,random_one_start,323.1,50.65000000000012,50.65000000000012,272.44999999999993,2816,6.561033010482788,4,0,0,0,True
15,random_one_start,264.65000000000003,49.99999999999998,49.99999999999998,214.65000000000006,2518,6.613994836807251,4,0,0,0,True
16,random_one_start,342.20000000000005,49.599999999999994,49.599999999999994,292.6,2818,6.606556177139282,4,0,0,0,True
17,random_one_start,313.9,50.44999999999911,50.44999999999911,263.45000000000084,2696,6.470695972442627,4,0,0,0,True
18,random_one_start,324.3,49.749999999999524,49.749999999999524,274.55000000000047,2775,6.499260902404785,4,0,0,0,True
19,random_one_start,341.4,49.99999999999974,49.999999999999744,291.40000000000026,2887,6.564513206481934,4,0,0,0,True
20,random_one_start,254.5,51.84999999999914,51.84999999999914,202.65000000000086,2532,6.5478339195251465,4,0,0,0,True
21,random_one_start,325.0,50.74999999999908,50.74999999999908,274.2500000000009,2729,6.615665912628174,4,0,0,0,True
22,random_one_start,319.09999999999997,49.799999999999336,49.799999999999336,269.30000000000064,2712,6.6833579540252686,4,0,0,0,True
23,random_one_start,321.85,52.700000000000045,52.700000000000045,269.15,2779,6.462040185928345,4,0,0,0,True
24,random_one_start,335.1,50.500000000000306,50.50000000000031,284.59999999999974,2643,6.535266876220703,4,0,0,0,True
25,random_one_start,208.89999999999998,50.99999999999924,50.99999999999924,157.90000000000074,2867,7.173482894897461,3,0,0,0,True
26,random_one_start,330.34999999999997,49.599999999999184,49.599999999999184,280.7500000000008,2690,6.999068021774292,4,0,0,0,True
27,random_one_start,345.95000000000005,50.69999999999966,50.69999999999966,295.2500000000004,2735,7.087181806564331,4,0,0,0,True
28,random_one_start,204.75,50.499999999999964,50.499999999999964,154.25000000000003,2639,6.550628185272217,4,0,0,0,True
29,random_one_start,388.95000000000005,50.449999999999875,50.44999999999988,338.50000000000017,2644,6.442623138427734,4,0,0,0,True
30,random_one_start,270.19999999999993,51.449999999999825,51.449999999999825,218.7500000000001,2640,6.441344976425171,4,0,0,0,True
31,random_one_start,302.04999999999995,50.24999999999989,50.24999999999989,251.80000000000007,2763,6.448647737503052,4,0,0,0,True
32,random_one_start,487.75000000000006,50.449999999999996,50.449999999999996,437.30000000000007,2719,6.398698091506958,4,0,0,0,True
33,random_one_start,298.85,51.399999999999636,51.399999999999636,247.4500000000004,2688,6.354085922241211,4,0,0,0,True
34,random_one_start,267.7,49.8999999999991,49.8999999999991,217.8000000000009,2698,6.4176719188690186,4,0,0,0,True
35,random_one_start,403.4,51.30000000000011,51.30000000000011,352.09999999999985,2871,6.439695835113525,4,0,0,0,True
36,random_one_start,451.15,53.14999999999955,53.14999999999955,398.00000000000045,2706,6.408109664916992,4,0,0,0,True
37,random_one_start,294.5,50.54999999999927,50.54999999999928,243.95000000000073,2920,6.434386968612671,4,0,0,0,True
38,random_one_start,358.6,50.799999999999415,50.799999999999415,307.80000000000064,2644,6.507500648498535,4,0,0,0,True
39,random_one_start,369.3,50.0499999999999,50.0499999999999,319.2500000000001,2700,6.411518096923828,4,0,0,0,True
40,random_one_start,333.9,49.149999999999984,49.149999999999984,284.75,2670,6.464980125427246,4,0,0,0,True
41,random_one_start,319.1,50.9999999999996,50.9999999999996,268.1000000000004,2735,6.398315906524658,4,0,0,0,True
42,random_one_start,339.5,50.149999999999636,50.149999999999636,289.35000000000036,2641,6.372057914733887,4,0,0,0,True
43,random_one_start,354.0,52.19999999999986,52.19999999999986,301.8000000000001,2714,6.3610968589782715,4,0,0,0,True
44,random_one_start,350.65000000000003,50.049999999999265,50.049999999999265,300.60000000000076,2832,6.548959970474243,4,0,0,0,True
45,random_one_start,337.2,50.89999999999963,50.89999999999963,286.30000000000035,2814,6.5920538902282715,4,0,0,0,True
46,random_one_start,353.44999999999993,51.45000000000046,51.450000000000465,301.9999999999995,2645,6.429453134536743,4,0,0,0,True
47,random_one_start,254.95000000000005,51.04999999999988,51.04999999999988,203.90000000000015,2738,6.3699939250946045,4,0,0,0,True
48,random_one_start,284.15000000000003,50.54999999999915,50.549999999999166,233.60000000000088,2803,6.417656898498535,4,0,0,0,True
49,random_one_start,353.45,51.20000000000023,51.20000000000023,302.2499999999998,2765,6.443325996398926,4,0,0,0,True
