operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,2,machine,0,2,2,124
1,0,1,3,machine,3,3,6,739
2,0,2,3,machine,8,4,12,1285
3,0,3,3,machine,12,2,14,1830
4,1,0,3,machine,0,3,3,2368
5,1,1,2,machine,3,4,7,2852
6,1,2,1,machine,7,2,9,3333
7,1,3,1,machine,9,3,12,3887
8,2,0,6,human,0,5,5,4719
9,2,1,6,human,6,3,9,5272
10,2,2,5,human,9,4,13,5762
11,2,3,0,machine,13,4,17,6006
12,3,0,4,human,0,3,3,6776
13,3,1,1,machine,4,3,7,7146
14,3,2,2,machine,7,4,11,7752
15,3,3,1,machine,12,2,14,8234
