restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,53.59999999999974,53.599999999999746,147.8500000000002,1120,3.2367799282073975,4,0,0,0,True
1,random_one_start,286.95,53.10000000000015,53.10000000000015,233.84999999999985,1161,3.1903200149536133,4,0,0,0,True
2,random_one_start,280.65,52.74999999999923,52.74999999999924,227.90000000000074,1140,3.1964149475097656,4,0,0,0,True
3,random_one_start,322.44999999999993,53.04999999999932,53.04999999999932,269.4000000000006,1226,3.2232720851898193,4,0,0,0,True
4,random_one_start,320.8,50.65000000000028,50.65000000000028,270.14999999999975,1217,3.1671268939971924,4,0,0,0,True
5,random_one_start,327.4,51.84999999999965,51.84999999999965,275.5500000000003,1192,3.199664831161499,4,0,0,0,True
6,random_one_start,300.70000000000005,51.65000000000029,51.65000000000029,249.04999999999976,1125,3.8874309062957764,4,0,0,0,True
7,random_one_start,424.65,50.39999999999976,50.39999999999976,374.2500000000002,1132,3.947789192199707,4,0,0,0,True
8,random_one_start,306.8,53.900000000000176,53.900000000000176,252.89999999999984,1116,3.479273796081543,4,0,0,0,True
9,random_one_start,352.70000000000005,54.199999999999726,54.199999999999726,298.50000000000034,1140,3.256661891937256,4,0,0,0,True
10,random_one_start,260.65,49.09999999999981,49.09999999999981,211.55000000000018,1068,3.410141944885254,4,0,0,0,True
11,random_one_start,311.25,51.44999999999988,51.44999999999988,259.8000000000001,1162,3.24165415763855,4,0,0,0,True
12,random_one_start,261.1,53.55000000000022,53.55000000000022,207.5499999999998,1166,3.2418439388275146,4,0,0,0,True
13,random_one_start,350.5,53.34999999999991,53.34999999999992,297.1500000000001,1172,4.297152996063232,4,0,0,0,True
14,random_one_start,366.4,51.599999999999596,51.599999999999596,314.8000000000004,1186,4.5798139572143555,4,0,0,0,True
15,random_one_start,372.70000000000005,51.95000000000019,51.95000000000019,320.7499999999999,1120,4.2107391357421875,4,0,0,0,True
16,random_one_start,349.9,52.34999999999987,52.34999999999988,297.5500000000001,1127,4.381009101867676,4,0,0,0,True
17,random_one_start,285.65000000000003,51.349999999999795,51.349999999999795,234.30000000000024,1133,4.21916389465332,4,0,0,0,True
18,random_one_start,360.54999999999995,51.75000000000028,51.750000000000284,308.79999999999967,1084,5.034607172012329,4,0,0,0,True
19,random_one_start,370.8,52.04999999999981,52.04999999999981,318.7500000000002,1220,4.050774097442627,4,0,0,0,True
20,random_one_start,390.5,51.49999999999984,51.499999999999844,339.00000000000017,1264,3.942124128341675,4,0,0,0,True
21,random_one_start,325.5,52.29999999999954,52.29999999999955,273.20000000000044,1107,4.251945972442627,4,0,0,0,True
22,random_one_start,329.2,53.54999999999974,53.54999999999974,275.65000000000026,1261,4.057217121124268,4,0,0,0,True
23,random_one_start,328.9,52.40000000000024,52.40000000000025,276.4999999999997,1127,4.457553863525391,4,0,0,0,True
24,random_one_start,287.25,52.800000000000296,52.8000000000003,234.4499999999997,1075,3.651787042617798,4,0,0,0,True
25,random_one_start,290.1,52.55000000000007,52.55000000000007,237.54999999999995,1080,3.561591148376465,4,0,0,0,True
26,random_one_start,339.95000000000005,51.59999999999992,51.59999999999992,288.35000000000014,1219,3.2763869762420654,4,0,0,0,True
27,random_one_start,242.60000000000002,51.24999999999987,51.24999999999987,191.35000000000014,1112,3.431931972503662,4,0,0,0,True
28,random_one_start,303.0,51.79999999999957,51.79999999999957,251.20000000000044,1149,3.253284215927124,4,0,0,0,True
29,random_one_start,322.3,52.64999999999948,52.64999999999948,269.65000000000055,1195,3.2885727882385254,4,0,0,0,True
30,random_one_start,258.50000000000006,51.5500000000002,51.5500000000002,206.94999999999985,1077,3.2687058448791504,4,0,0,0,True
31,random_one_start,432.90000000000003,51.249999999999346,51.249999999999346,381.65000000000066,1085,3.278895139694214,4,0,0,0,True
32,random_one_start,270.15,50.74999999999952,50.74999999999952,219.40000000000046,1126,3.4197351932525635,4,0,0,0,True
33,random_one_start,351.0,51.75000000000015,51.75000000000015,299.24999999999983,1142,3.5638091564178467,4,0,0,0,True
34,random_one_start,302.20000000000005,51.1499999999998,51.14999999999981,251.05000000000024,1139,3.447643995285034,4,0,0,0,True
35,random_one_start,238.3,51.899999999999906,51.899999999999906,186.4000000000001,1146,3.271794080734253,4,0,0,0,True
36,random_one_start,242.64999999999998,51.14999999999984,51.14999999999984,191.50000000000014,1197,3.2577919960021973,4,0,0,0,True
37,random_one_start,286.50000000000006,52.10000000000025,52.10000000000025,234.3999999999998,1167,3.558893918991089,4,0,0,0,True
38,random_one_start,479.25,51.29999999999961,51.29999999999961,427.9500000000004,1118,3.409365653991699,4,0,0,0,True
39,random_one_start,425.69999999999993,51.6999999999997,51.6999999999997,374.0000000000002,1236,3.4524219036102295,4,0,0,0,True
40,random_one_start,351.0,51.199999999999946,51.199999999999946,299.80000000000007,1107,3.416023015975952,4,0,0,0,True
41,random_one_start,312.85,51.45000000000011,51.45000000000011,261.3999999999999,1085,3.245022773742676,4,0,0,0,True
42,random_one_start,355.9,52.550000000000054,52.550000000000054,303.3499999999999,1134,3.5626511573791504,4,0,0,0,True
43,random_one_start,378.34999999999997,52.349999999999746,52.349999999999746,326.0000000000002,1135,3.445765972137451,4,0,0,0,True
44,random_one_start,256.95,52.95000000000007,52.95000000000007,203.99999999999991,1104,3.3865840435028076,4,0,0,0,True
45,random_one_start,370.5,51.94999999999977,51.94999999999977,318.55000000000024,1105,3.3383820056915283,4,0,0,0,True
46,random_one_start,432.75,51.44999999999976,51.44999999999976,381.30000000000024,1129,3.321399211883545,4,0,0,0,True
47,random_one_start,277.95,52.44999999999946,52.44999999999946,225.5000000000005,1245,3.3065788745880127,4,0,0,0,True
48,random_one_start,299.99999999999994,54.150000000000226,54.150000000000226,245.8499999999997,1254,3.260802745819092,4,0,0,0,True
49,random_one_start,267.00000000000006,53.14999999999992,53.14999999999992,213.85000000000014,1237,3.3971900939941406,4,0,0,0,True
