operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,1,machine,0,2,2,62
1,0,1,0,machine,2,3,5,555
2,0,2,0,machine,5,4,9,1102
3,0,3,2,machine,10,2,12,1766
4,1,0,4,human,1,4,5,2430
5,1,1,4,human,5,5,10,2974
6,1,2,0,machine,10,2,12,3274
7,1,3,0,machine,14,3,17,3831
8,2,0,6,human,0,5,5,4719
9,2,1,1,machine,5,2,7,4963
10,2,2,2,machine,7,3,10,5578
11,2,3,3,machine,11,4,15,6184
12,3,0,0,machine,0,2,2,6528
13,3,1,5,human,2,4,6,7387
14,3,2,3,machine,6,4,10,7811
15,3,3,1,machine,10,2,12,8232
