restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.89999999999945,50.89999999999945,150.55000000000047,2824,6.4983971118927,4,0,0,0,True
1,random_one_start,326.04999999999995,51.20000000000011,51.20000000000011,274.84999999999985,2886,6.492997884750366,4,0,0,0,True
2,random_one_start,441.54999999999995,51.299999999999784,51.299999999999784,390.25000000000017,2786,6.483844757080078,4,0,0,0,True
3,random_one_start,367.35,49.19999999999941,49.19999999999942,318.1500000000006,2819,7.398977994918823,4,0,0,0,True
4,random_one_start,354.65,51.69999999999916,51.699999999999164,302.95000000000084,2795,7.046359062194824,4,0,0,0,True
5,random_one_start,301.75,50.199999999999804,50.199999999999804,251.55000000000018,2749,6.81932806968689,4,0,0,0,True
6,random_one_start,286.7,50.0499999999997,50.0499999999997,236.6500000000003,2747,6.589187860488892,4,0,0,0,True
7,random_one_start,268.85,51.449999999999136,51.449999999999136,217.4000000000009,2765,6.479963779449463,4,0,0,0,True
8,random_one_start,329.90000000000003,50.60000000000015,50.60000000000015,279.2999999999999,2625,6.5253589153289795,4,0,0,0,True
9,random_one_start,324.79999999999995,52.04999999999957,52.04999999999957,272.7500000000004,2844,6.5177178382873535,4,0,0,0,True
10,random_one_start,289.65000000000003,49.64999999999892,49.649999999998926,240.0000000000011,2880,6.539279937744141,4,0,0,0,True
11,random_one_start,323.5,51.849999999999746,51.849999999999746,271.65000000000026,2861,6.416966199874878,4,0,0,0,True
12,random_one_start,401.75,49.99999999999978,49.99999999999979,351.7500000000002,2775,6.517855167388916,4,0,0,0,True
13,random_one_start,290.95000000000005,51.05000000000004,51.05000000000004,239.9,2807,6.604888916015625,4,0,0,0,True
14,random_one_start,323.1,50.65000000000012,50.65000000000012,272.44999999999993,2816,6.776479005813599,4,0,0,0,True
15,random_one_start,264.65000000000003,49.99999999999998,49.99999999999998,214.65000000000006,2518,6.563446044921875,4,0,0,0,True
16,random_one_start,342.20000000000005,49.599999999999994,49.599999999999994,292.6,2818,6.525104761123657,4,0,0,0,True
17,random_one_start,313.9,50.44999999999911,50.44999999999911,263.45000000000084,2696,6.427586078643799,4,0,0,0,True
18,random_one_start,324.3,49.749999999999524,49.749999999999524,274.55000000000047,2775,6.478990077972412,4,0,0,0,True
19,random_one_start,341.4,49.99999999999974,49.999999999999744,291.40000000000026,2887,6.533560276031494,4,0,0,0,True
20,random_one_start,254.5,51.84999999999914,51.84999999999914,202.65000000000086,2532,6.547526121139526,4,0,0,0,True
21,random_one_start,325.0,50.74999999999908,50.74999999999908,274.2500000000009,2729,6.536449193954468,4,0,0,0,True
22,random_one_start,319.09999999999997,49.799999999999336,49.799999999999336,269.30000000000064,2712,6.934576034545898,4,0,0,0,True
23,random_one_start,321.85,52.700000000000045,52.700000000000045,269.15,2779,6.568360805511475,4,0,0,0,True
24,random_one_start,335.1,50.500000000000306,50.50000000000031,284.59999999999974,2643,6.589287996292114,4,0,0,0,True
25,random_one_start,208.89999999999998,50.99999999999924,50.99999999999924,157.90000000000074,2867,7.0630950927734375,3,0,0,0,True
26,random_one_start,330.34999999999997,49.599999999999184,49.599999999999184,280.7500000000008,2690,7.075547218322754,4,0,0,0,True
27,random_one_start,345.95000000000005,50.69999999999966,50.69999999999966,295.2500000000004,2735,6.830725193023682,4,0,0,0,True
28,random_one_start,204.75,50.499999999999964,50.499999999999964,154.25000000000003,2639,6.990052938461304,4,0,0,0,True
29,random_one_start,388.95000000000005,50.449999999999875,50.44999999999988,338.50000000000017,2644,6.790152072906494,4,0,0,0,True
