operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,4,human,0,3,3,248
1,0,1,1,machine,3,3,6,617
2,0,2,2,machine,6,4,10,1223
3,0,3,0,machine,11,2,13,1643
4,1,0,5,human,1,4,5,2490
5,1,1,1,machine,6,4,10,2795
6,1,2,2,machine,10,2,12,3398
7,1,3,2,machine,12,3,15,3951
8,2,0,6,human,1,5,6,4720
9,2,1,6,human,6,3,9,5272
10,2,2,3,machine,9,3,12,5641
11,2,3,3,machine,14,4,18,6187
12,3,0,3,machine,0,2,2,6714
13,3,1,0,machine,2,3,5,7083
14,3,2,0,machine,5,4,9,7630
15,3,3,0,machine,9,2,11,8169
