operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,1,3,4,310
1,0,1,3,machine,4,3,7,740
2,0,2,2,machine,8,4,12,1225
3,0,3,3,machine,12,2,14,1830
4,1,0,0,machine,1,3,4,2186
5,1,1,6,human,4,5,9,3091
6,1,2,1,machine,11,2,13,3337
7,1,3,1,machine,13,3,16,3891
8,2,0,3,machine,0,4,4,4541
9,2,1,2,machine,4,2,6,5024
10,2,2,0,machine,6,3,9,5455
11,2,3,0,machine,11,4,15,6004
12,3,0,6,human,1,3,4,6899
13,3,1,5,human,4,4,8,7389
14,3,2,3,machine,8,4,12,7813
15,3,3,2,machine,12,2,14,8296
