operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,3,machine,0,2,2,186
1,0,1,0,machine,2,3,5,555
2,0,2,1,machine,5,4,9,1162
3,0,3,3,machine,10,2,12,1828
4,1,0,6,human,0,4,4,2549
5,1,1,2,machine,4,4,8,2853
6,1,2,0,machine,8,2,10,3272
7,1,3,1,machine,10,3,13,3888
8,2,0,5,human,0,5,5,4660
9,2,1,3,machine,5,2,7,5087
10,2,2,3,machine,7,3,10,5639
11,2,3,2,machine,11,4,15,6124
12,3,0,4,human,0,3,3,6776
13,3,1,4,human,4,4,8,7329
14,3,2,0,machine,10,4,14,7635
15,3,3,0,machine,14,2,16,8174
