operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,0,3,3,309
1,0,1,2,machine,3,3,6,678
2,0,2,1,machine,6,4,10,1163
3,0,3,3,machine,10,2,12,1828
4,1,0,6,human,0,4,4,2549
5,1,1,3,machine,4,4,8,2913
6,1,2,3,machine,8,2,10,3458
7,1,3,2,machine,10,3,13,3949
8,2,0,4,human,3,5,8,4604
9,2,1,2,machine,8,2,10,5028
10,2,2,1,machine,11,3,14,5521
11,2,3,1,machine,14,4,18,6067
12,3,0,2,machine,0,2,2,6652
13,3,1,5,human,3,4,7,7388
14,3,2,0,machine,7,4,11,7632
15,3,3,0,machine,11,2,13,8171
