restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,54.04999999999967,54.04999999999967,147.40000000000026,796,3.520591974258423,4,0,0,0,True
1,random_one_start,449.85,51.599999999999866,51.599999999999866,398.25000000000017,926,3.2196600437164307,4,0,0,0,True
2,random_one_start,324.55,51.900000000000006,51.900000000000006,272.65,847,3.2531321048736572,4,0,0,0,True
3,random_one_start,360.5,53.14999999999981,53.14999999999982,307.3500000000002,882,3.274876832962036,4,0,0,0,True
4,random_one_start,288.3,51.09999999999998,51.09999999999998,237.20000000000005,829,3.185482978820801,4,0,0,0,True
5,random_one_start,442.55,53.89999999999974,53.89999999999974,388.65000000000026,812,3.1820757389068604,4,0,0,0,True
6,random_one_start,269.15,54.24999999999956,54.24999999999956,214.90000000000043,849,3.377218008041382,4,0,0,0,True
7,random_one_start,296.85,51.40000000000002,51.40000000000002,245.45,741,3.197603702545166,4,0,0,0,True
8,random_one_start,313.45000000000005,50.89999999999985,50.89999999999985,262.5500000000002,813,3.184239149093628,4,0,0,0,True
9,random_one_start,298.0,52.44999999999983,52.44999999999983,245.55000000000018,734,3.1227688789367676,4,0,0,0,True
10,random_one_start,342.3,53.65000000000007,53.65000000000007,288.6499999999999,778,3.177690029144287,4,0,0,0,True
11,random_one_start,241.3,55.249999999999865,55.249999999999865,186.05000000000015,916,3.189525842666626,4,0,0,0,True
12,random_one_start,344.1,50.9999999999999,50.9999999999999,293.10000000000014,835,3.2138772010803223,4,0,0,0,True
13,random_one_start,317.0,51.40000000000012,51.40000000000012,265.5999999999999,711,3.2209720611572266,4,0,0,0,True
14,random_one_start,349.85,50.70000000000009,50.70000000000009,299.1499999999999,788,3.1614999771118164,4,0,0,0,True
15,random_one_start,392.1,52.49999999999977,52.49999999999978,339.60000000000025,851,3.2640480995178223,4,0,0,0,True
16,random_one_start,233.64999999999998,53.64999999999972,53.64999999999972,180.00000000000026,806,3.163684844970703,4,0,0,0,True
17,random_one_start,280.45,51.10000000000003,51.10000000000003,229.34999999999997,711,3.1897988319396973,4,0,0,0,True
18,random_one_start,272.25,52.44999999999983,52.44999999999983,219.80000000000018,788,3.2118470668792725,4,0,0,0,True
19,random_one_start,217.64999999999998,52.6499999999997,52.6499999999997,165.00000000000028,849,3.182161808013916,4,0,0,0,True
20,random_one_start,232.89999999999998,51.9999999999999,51.9999999999999,180.9000000000001,667,3.2311158180236816,4,0,0,0,True
21,random_one_start,277.5,49.34999999999984,49.34999999999984,228.15000000000015,848,3.1561789512634277,4,0,0,0,True
22,random_one_start,354.4,52.64999999999994,52.64999999999995,301.75000000000006,782,3.153270959854126,4,0,0,0,True
23,random_one_start,362.95000000000005,52.19999999999975,52.19999999999975,310.7500000000003,753,3.1325809955596924,4,0,0,0,True
24,random_one_start,318.25,49.79999999999989,49.79999999999989,268.4500000000001,775,3.176738977432251,4,0,0,0,True
25,random_one_start,375.95,51.59999999999938,51.59999999999939,324.3500000000006,749,3.176729202270508,4,0,0,0,True
26,random_one_start,302.15000000000003,52.24999999999992,52.24999999999992,249.90000000000012,739,3.148388147354126,4,0,0,0,True
27,random_one_start,272.65000000000003,53.150000000000254,53.15000000000026,219.49999999999977,877,3.135990858078003,4,0,0,0,True
28,random_one_start,351.25,51.94999999999957,51.94999999999958,299.3000000000004,812,3.1784958839416504,4,0,0,0,True
29,random_one_start,291.65000000000003,49.24999999999996,49.24999999999996,242.4000000000001,828,3.2095282077789307,4,0,0,0,True
30,random_one_start,245.89999999999998,52.900000000000034,52.900000000000034,192.99999999999994,875,3.1836130619049072,4,0,0,0,True
31,random_one_start,352.2,53.099999999999845,53.09999999999987,299.10000000000014,818,3.177324056625366,4,0,0,0,True
32,random_one_start,402.40000000000003,51.749999999999964,51.749999999999964,350.6500000000001,819,3.1787869930267334,4,0,0,0,True
33,random_one_start,374.70000000000005,52.44999999999976,52.44999999999976,322.2500000000003,796,3.1750752925872803,4,0,0,0,True
34,random_one_start,325.0,53.599999999999994,53.599999999999994,271.4,815,3.1676888465881348,4,0,0,0,True
35,random_one_start,357.79999999999995,54.39999999999949,54.39999999999949,303.4000000000005,862,3.1532816886901855,4,0,0,0,True
36,random_one_start,398.3,50.650000000000105,50.650000000000105,347.6499999999999,841,3.1716370582580566,4,0,0,0,True
37,random_one_start,332.55,52.049999999999976,52.04999999999998,280.50000000000006,811,3.2089991569519043,4,0,0,0,True
38,random_one_start,358.15,52.50000000000015,52.50000000000015,305.6499999999998,764,3.1505939960479736,4,0,0,0,True
39,random_one_start,356.29999999999995,53.04999999999983,53.04999999999983,303.2500000000001,884,3.1722826957702637,4,0,0,0,True
40,random_one_start,289.3,52.000000000000085,52.000000000000085,237.29999999999993,776,3.1666018962860107,4,0,0,0,True
41,random_one_start,358.34999999999997,52.000000000000036,52.000000000000036,306.3499999999999,842,3.195030927658081,4,0,0,0,True
42,random_one_start,316.1,52.2,52.2,263.90000000000003,921,3.1866648197174072,4,0,0,0,True
43,random_one_start,351.25,53.099999999999596,53.099999999999596,298.15000000000043,851,3.1775197982788086,4,0,0,0,True
44,random_one_start,314.95000000000005,52.65000000000009,52.65000000000009,262.29999999999995,845,3.2016561031341553,4,0,0,0,True
45,random_one_start,306.65,50.799999999999756,50.799999999999756,255.85000000000022,786,3.160968065261841,4,0,0,0,True
46,random_one_start,321.5,49.74999999999995,49.74999999999995,271.75000000000006,755,3.1415228843688965,4,0,0,0,True
47,random_one_start,417.29999999999995,52.49999999999998,52.49999999999998,364.79999999999995,729,3.168555974960327,4,0,0,0,True
48,random_one_start,350.04999999999995,52.450000000000315,52.450000000000315,297.5999999999996,829,3.2086620330810547,4,0,0,0,True
49,random_one_start,270.95,51.099999999999675,51.099999999999675,219.8500000000003,843,3.202385187149048,4,0,0,0,True
