operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,3,machine,0,2,2,186
1,0,1,2,machine,2,3,5,677
2,0,2,2,machine,5,4,9,1222
3,0,3,2,machine,10,2,12,1766
4,1,0,6,human,0,4,4,2549
5,1,1,1,machine,4,4,8,2793
6,1,2,3,machine,8,2,10,3458
7,1,3,1,machine,10,3,13,3888
8,2,0,4,human,0,5,5,4601
9,2,1,6,human,5,3,8,5271
10,2,2,3,machine,11,3,14,5643
11,2,3,3,machine,14,4,18,6187
12,3,0,5,human,0,3,3,6837
13,3,1,3,machine,4,3,7,7268
14,3,2,0,machine,7,4,11,7632
15,3,3,0,machine,11,2,13,8171
