operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,3,machine,0,2,2,186
1,0,1,1,machine,2,3,5,616
2,0,2,1,machine,5,4,9,1162
3,0,3,3,machine,9,2,11,1827
4,1,0,6,human,0,4,4,2549
5,1,1,6,human,5,5,10,3092
6,1,2,1,machine,10,2,12,3336
7,1,3,0,machine,14,3,17,3831
8,2,0,4,human,0,5,5,4601
9,2,1,2,machine,5,2,7,5025
10,2,2,2,machine,9,3,12,5580
11,2,3,3,machine,13,4,17,6186
12,3,0,5,human,0,3,3,6837
13,3,1,0,machine,3,3,6,7084
14,3,2,0,machine,7,4,11,7632
15,3,3,2,machine,13,2,15,8297
