metric,value
num_variables,8713.0
qubo_constant,496.0
ising_offset,54956285.69999966
total_qubo_terms,8218171.0
linear_qubo_terms,8713.0
quadratic_qubo_terms,8209458.0
ising_linear_nonzero_terms,8713.0
ising_couplers,8209458.0
coupler_density,0.21630118574600696
ising_h_min,8626.0
ising_h_max,14912.0
ising_h_abs_max,14912.0
ising_J_min,0.5
ising_J_max,15.5
ising_J_abs_max,15.5
ising_abs_max,14912.0
scale_to_unit_abs_max,6.706008583690987e-05
