seed,human_reward,status,objective_cp_sat,reward_adjusted_objective,total_cost_without_reward,start_time_cost,assignment_cost,workload,ergonomic,human_assignments,machine_assignments,robot_assignments,num_selected_operations,wall_seconds,num_binary_variables,jobs,machines,operations,workers,robots,resources,planning_horizon
2006,1,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.800000000000001,39.6,0.0,0.0,0,16,0,16,1.8384590148925781,9072,4,4,16,3,2,9,63
2006,2,OPTIMAL,44.2,44.2,48.2,4.5,40.5,2.0,1.2,2,14,0,16,1.8286998271942139,9072,4,4,16,3,2,9,63
2006,3,OPTIMAL,39.55,39.55,66.55,4.65,44.5,10.5,6.8999999999999995,9,7,0,16,1.8200829029083252,9072,4,4,16,3,2,9,63
2006,4,OPTIMAL,27.45,27.450000000000017,83.45000000000002,5.45,47.6,19.0,11.399999999999999,14,2,0,16,1.9155950546264648,9072,4,4,16,3,2,9,63
2006,5,OPTIMAL,11.7,11.700000000000003,91.7,7.0,48.7,22.5,13.499999999999996,16,0,0,16,2.1433680057525635,9072,4,4,16,3,2,9,63
2007,0,OPTIMAL,46.75,46.75000000000001,46.75000000000001,6.6499999999999995,40.10000000000001,0.0,0.0,0,15,1,16,1.9615070819854736,9072,4,4,16,3,2,9,63
2007,1,OPTIMAL,46.75,46.75000000000001,46.75000000000001,6.6499999999999995,40.10000000000001,0.0,0.0,0,15,1,16,1.9574158191680908,9072,4,4,16,3,2,9,63
2007,2,OPTIMAL,46.3,46.30000000000001,50.30000000000001,6.6,40.50000000000001,2.0,1.2,2,13,1,16,1.9378068447113037,9072,4,4,16,3,2,9,63
2007,3,OPTIMAL,41.75,41.75,68.75,6.35,43.8,12.0,6.6,9,7,0,16,1.8571949005126953,9072,4,4,16,3,2,9,63
2007,4,OPTIMAL,29.8,29.799999999999997,85.8,8.8,46.5,18.5,11.999999999999998,14,2,0,16,1.9508459568023682,9072,4,4,16,3,2,9,63
2007,5,OPTIMAL,14.9,14.900000000000006,89.9,9.3,47.6,21.0,11.999999999999998,15,1,0,16,4.8093650341033936,9072,4,4,16,3,2,9,63
2008,0,OPTIMAL,47.85,47.849999999999994,47.849999999999994,6.8500000000000005,40.99999999999999,0.0,0.0,0,15,1,16,1.8785722255706787,9072,4,4,16,3,2,9,63
2008,1,OPTIMAL,47.85,47.849999999999994,47.849999999999994,7.05,40.8,0.0,0.0,0,16,0,16,1.8754711151123047,9072,4,4,16,3,2,9,63
2008,2,OPTIMAL,47.55,47.55,49.55,6.8500000000000005,41.099999999999994,1.0,0.6,1,15,0,16,1.833622932434082,9072,4,4,16,3,2,9,63
2008,3,OPTIMAL,44.55,44.54999999999999,62.54999999999999,7.249999999999999,42.09999999999999,7.5,5.7,6,10,0,16,1.8624789714813232,9072,4,4,16,3,2,9,63
2008,4,OPTIMAL,34.7,34.7,82.7,8.7,45.3,17.0,11.7,12,4,0,16,1.9626691341400146,9072,4,4,16,3,2,9,63
2008,5,OPTIMAL,20.95,20.94999999999999,95.94999999999999,10.450000000000001,46.99999999999999,23.5,14.999999999999998,15,1,0,16,4.81996488571167,9072,4,4,16,3,2,9,63
2009,0,OPTIMAL,47.0,47.00000000000001,47.00000000000001,6.200000000000001,40.800000000000004,0.0,0.0,0,16,0,16,2.1084678173065186,9072,4,4,16,3,2,9,63
2009,1,OPTIMAL,47.0,47.00000000000001,47.00000000000001,6.200000000000001,40.800000000000004,0.0,0.0,0,16,0,16,2.150496006011963,9072,4,4,16,3,2,9,63
2009,2,OPTIMAL,46.55,46.550000000000004,50.550000000000004,6.250000000000001,41.1,2.0,1.2,2,14,0,16,1.9131240844726562,9072,4,4,16,3,2,9,63
2009,3,OPTIMAL,42.0,42.0,69.0,7.0,44.0,10.5,7.499999999999998,9,7,0,16,1.8939149379730225,9072,4,4,16,3,2,9,63
2009,4,OPTIMAL,31.2,31.200000000000003,83.2,8.5,46.5,16.5,11.7,13,3,0,16,3.373961925506592,9072,4,4,16,3,2,9,63
2009,5,OPTIMAL,16.2,16.200000000000017,96.20000000000002,10.9,48.400000000000006,24.0,12.899999999999999,16,0,0,16,2.598170757293701,9072,4,4,16,3,2,9,63
2010,0,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.2,40.2,0.0,0.0,0,16,0,16,1.8501312732696533,9072,4,4,16,3,2,9,63
2010,1,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.2,40.2,0.0,0.0,0,16,0,16,1.8444130420684814,9072,4,4,16,3,2,9,63
2010,2,OPTIMAL,44.3,44.300000000000004,46.300000000000004,4.2,40.2,1.0,0.9,1,15,0,16,1.8225669860839844,9072,4,4,16,3,2,9,63
2010,3,OPTIMAL,40.55,40.55000000000001,67.55000000000001,4.45,44.10000000000001,10.0,9.0,9,7,0,16,1.8187761306762695,9072,4,4,16,3,2,9,63
2010,4,OPTIMAL,29.45,29.44999999999999,85.44999999999999,5.75,46.6,19.0,14.099999999999998,14,2,0,16,1.9107568264007568,9072,4,4,16,3,2,9,63
2010,5,OPTIMAL,13.85,13.850000000000009,93.85000000000001,6.550000000000001,48.1,23.0,16.2,16,0,0,16,1.917788028717041,9072,4,4,16,3,2,9,63
