search_name,read,bitstring,best_cost,feasible,num_violations,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,gap_to_cpsat,schedule
seeded_from_handcrafted,0,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,34.2,True,0,23.0,9.2,0.0,0.0,2.0,34.2,0.0,0.0,0.0,0.0,0.0,0,0.0,34.2,2.400000000000002,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 4, 'duration': 2, 'end': 6}], 'O0_2': [{'resource': 'M2', 'start': 6, 'duration': 2, 'end': 8}], 'O1_0': [{'resource': 'M0', 'start': 3, 'duration': 2, 'end': 5}], 'O1_1': [{'resource': 'R0', 'start': 5, 'duration': 1, 'end': 6}], 'O1_2': [{'resource': 'M1', 'start': 9, 'duration': 4, 'end': 13}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 8, 'duration': 3, 'end': 11}], 'O2_2': [{'resource': 'M0', 'start': 11, 'duration': 2, 'end': 13}]}"
seeded_from_handcrafted,1,000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000,36.0,True,0,23.0,11.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,4.199999999999999,"{'O0_0': [{'resource': 'M0', 'start': 4, 'duration': 3, 'end': 7}], 'O0_1': [{'resource': 'M1', 'start': 10, 'duration': 2, 'end': 12}], 'O0_2': [{'resource': 'M2', 'start': 12, 'duration': 2, 'end': 14}], 'O1_0': [{'resource': 'M0', 'start': 2, 'duration': 2, 'end': 4}], 'O1_1': [{'resource': 'M2', 'start': 5, 'duration': 1, 'end': 6}], 'O1_2': [{'resource': 'M1', 'start': 6, 'duration': 4, 'end': 10}], 'O2_0': [{'resource': 'M1', 'start': 1, 'duration': 4, 'end': 5}], 'O2_1': [{'resource': 'M2', 'start': 6, 'duration': 3, 'end': 9}], 'O2_2': [{'resource': 'R0', 'start': 9, 'duration': 2, 'end': 11}]}"
seeded_from_handcrafted,2,000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,34.6,True,0,23.0,9.600000000000001,0.0,0.0,2.0,34.6,0.0,0.0,0.0,0.0,0.0,0,0.0,34.6,2.8000000000000007,"{'O0_0': [{'resource': 'M0', 'start': 3, 'duration': 3, 'end': 6}], 'O0_1': [{'resource': 'M1', 'start': 6, 'duration': 2, 'end': 8}], 'O0_2': [{'resource': 'M2', 'start': 10, 'duration': 2, 'end': 12}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'R0', 'start': 3, 'duration': 1, 'end': 4}], 'O1_2': [{'resource': 'M1', 'start': 9, 'duration': 4, 'end': 13}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 5, 'duration': 3, 'end': 8}], 'O2_2': [{'resource': 'M0', 'start': 12, 'duration': 2, 'end': 14}]}"
seeded_from_handcrafted,3,000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000,35.4,True,0,23.0,10.4,0.0,0.0,2.0,35.4,0.0,0.0,0.0,0.0,0.0,0,0.0,35.4,3.599999999999998,"{'O0_0': [{'resource': 'M0', 'start': 3, 'duration': 3, 'end': 6}], 'O0_1': [{'resource': 'M1', 'start': 7, 'duration': 2, 'end': 9}], 'O0_2': [{'resource': 'M2', 'start': 10, 'duration': 2, 'end': 12}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 6, 'duration': 1, 'end': 7}], 'O1_2': [{'resource': 'M1', 'start': 9, 'duration': 4, 'end': 13}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 7, 'duration': 3, 'end': 10}], 'O2_2': [{'resource': 'R0', 'start': 10, 'duration': 2, 'end': 12}]}"
seeded_from_handcrafted,4,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,38.8,True,0,23.0,13.8,0.0,0.0,2.0,38.8,0.0,0.0,0.0,0.0,0.0,0,0.0,38.8,6.9999999999999964,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 3, 'duration': 2, 'end': 5}], 'O0_2': [{'resource': 'M2', 'start': 5, 'duration': 2, 'end': 7}], 'O1_0': [{'resource': 'M0', 'start': 3, 'duration': 2, 'end': 5}], 'O1_1': [{'resource': 'R0', 'start': 8, 'duration': 1, 'end': 9}], 'O1_2': [{'resource': 'M1', 'start': 11, 'duration': 4, 'end': 15}], 'O2_0': [{'resource': 'M1', 'start': 7, 'duration': 4, 'end': 11}], 'O2_1': [{'resource': 'M2', 'start': 12, 'duration': 3, 'end': 15}], 'O2_2': [{'resource': 'M0', 'start': 20, 'duration': 2, 'end': 22}]}"
seeded_from_handcrafted,5,000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,37.4,True,0,23.0,12.4,0.0,0.0,2.0,37.4,0.0,0.0,0.0,0.0,0.0,0,0.0,37.4,5.599999999999998,"{'O0_0': [{'resource': 'M0', 'start': 3, 'duration': 3, 'end': 6}], 'O0_1': [{'resource': 'M1', 'start': 6, 'duration': 2, 'end': 8}], 'O0_2': [{'resource': 'M2', 'start': 11, 'duration': 2, 'end': 13}], 'O1_0': [{'resource': 'M0', 'start': 1, 'duration': 2, 'end': 3}], 'O1_1': [{'resource': 'M2', 'start': 7, 'duration': 1, 'end': 8}], 'O1_2': [{'resource': 'M1', 'start': 10, 'duration': 4, 'end': 14}], 'O2_0': [{'resource': 'M1', 'start': 2, 'duration': 4, 'end': 6}], 'O2_1': [{'resource': 'M2', 'start': 8, 'duration': 3, 'end': 11}], 'O2_2': [{'resource': 'R0', 'start': 14, 'duration': 2, 'end': 16}]}"
seeded_from_handcrafted,6,000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000,36.2,True,0,23.0,11.200000000000001,0.0,0.0,2.0,36.2,0.0,0.0,0.0,0.0,0.0,0,0.0,36.2,4.400000000000002,"{'O0_0': [{'resource': 'M0', 'start': 4, 'duration': 3, 'end': 7}], 'O0_1': [{'resource': 'M1', 'start': 11, 'duration': 2, 'end': 13}], 'O0_2': [{'resource': 'M2', 'start': 18, 'duration': 2, 'end': 20}], 'O1_0': [{'resource': 'M0', 'start': 1, 'duration': 2, 'end': 3}], 'O1_1': [{'resource': 'M2', 'start': 3, 'duration': 1, 'end': 4}], 'O1_2': [{'resource': 'M1', 'start': 7, 'duration': 4, 'end': 11}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'R0', 'start': 8, 'duration': 2, 'end': 10}]}"
seeded_from_handcrafted,7,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000,34.2,True,0,23.0,9.2,0.0,0.0,2.0,34.2,0.0,0.0,0.0,0.0,0.0,0,0.0,34.2,2.400000000000002,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'M1', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 3, 'duration': 1, 'end': 4}], 'O1_2': [{'resource': 'M1', 'start': 7, 'duration': 4, 'end': 11}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'R0', 'start': 18, 'duration': 2, 'end': 20}]}"
seeded_from_handcrafted,8,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,36.6,True,0,23.0,11.6,0.0,0.0,2.0,36.6,0.0,0.0,0.0,0.0,0.0,0,0.0,36.6,4.800000000000001,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 6, 'duration': 2, 'end': 8}], 'O0_2': [{'resource': 'M2', 'start': 12, 'duration': 2, 'end': 14}], 'O1_0': [{'resource': 'M0', 'start': 4, 'duration': 2, 'end': 6}], 'O1_1': [{'resource': 'R0', 'start': 8, 'duration': 1, 'end': 9}], 'O1_2': [{'resource': 'M1', 'start': 11, 'duration': 4, 'end': 15}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 5, 'duration': 3, 'end': 8}], 'O2_2': [{'resource': 'M0', 'start': 12, 'duration': 2, 'end': 14}]}"
seeded_from_handcrafted,9,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000,36.8,True,0,23.0,11.799999999999999,0.0,0.0,2.0,36.8,0.0,0.0,0.0,0.0,0.0,0,0.0,36.8,4.9999999999999964,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 6, 'duration': 2, 'end': 8}], 'O0_2': [{'resource': 'M2', 'start': 15, 'duration': 2, 'end': 17}], 'O1_0': [{'resource': 'M0', 'start': 3, 'duration': 2, 'end': 5}], 'O1_1': [{'resource': 'M2', 'start': 9, 'duration': 1, 'end': 10}], 'O1_2': [{'resource': 'M1', 'start': 12, 'duration': 4, 'end': 16}], 'O2_0': [{'resource': 'M1', 'start': 1, 'duration': 4, 'end': 5}], 'O2_1': [{'resource': 'M2', 'start': 5, 'duration': 3, 'end': 8}], 'O2_2': [{'resource': 'R0', 'start': 8, 'duration': 2, 'end': 10}]}"
