human_reward,best_overuse_penalty,human_assignments_mean,human_assignments_std,distance_from_target_mean,overuse_count_mean,total_cost_without_reward_mean,adjusted_objective_manual_mean
2.5,0.5,3.6,0.5163977794943223,0.4,0.0,53.245000000000005,44.245
3.0,1.0,4.0,0.0,0.0,0.0,54.30499999999999,42.305
3.5,2.0,4.0,0.0,0.0,0.0,54.30499999999999,40.305
