model_variant,description,status,feasible,num_violations,human_assignment_count,robot_assignment_count,machine_assignment_count,processing,start_time,workload,ergonomic,safety,total_penalty,total_cost,cost_increase_vs_baseline,percent_increase_vs_baseline,wall_time,notes
Baseline CP-SAT,No explicit human-utilization requirement,OPTIMAL,True,0,0,1,15,42.0,15.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.377612,CP-SAT selects no human worker assignments under the current objective.
Human-utilization CP-SAT,Hard constraint: at least 2 operations assigned to human workers,OPTIMAL,True,0,2,1,13,43.0,13.4,1.5,4.2,0.0,0.0,62.1,5.100000000000001,8.947368421052634,0.456805,Human involvement activates workload and ergonomic cost terms.
