bitstring,bitstring_tuple,bitstring_excel,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
001100100010,"(0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0)","=""001100100010""",False,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['R']}",24,5.5,7.699999999999999,0.0,37.2,0,20,0,20,57.2
000000010100,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0)","=""000000010100""",False,"{'O11': [], 'O12': [], 'O21': ['R'], 'O22': ['H']}",10,2.5,2.8,2.0,17.3,40,0,0,40,57.3
100001110100,"(1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0)","=""100001110100""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H', 'R'], 'O22': ['H']}",23,6.0,6.3,2.0,37.3,20,0,0,20,57.3
001001100101,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1)","=""001001100101""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H', 'M']}",23,4.5,4.8999999999999995,0.0,32.4,20,0,5,25,57.4
001100000100,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0)","=""001100000100""",False,"{'O11': ['M'], 'O12': ['H'], 'O21': [], 'O22': ['H']}",18,6.0,8.399999999999999,0.0,32.4,20,0,5,25,57.4
010010100100,"(0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0)","=""010010100100""",False,"{'O11': ['R'], 'O12': ['R'], 'O21': ['H'], 'O22': ['H']}",22,4.5,4.8999999999999995,1.0,32.4,0,20,5,25,57.4
100001000010,"(1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0)","=""100001000010""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': [], 'O22': ['R']}",15,1.5,1.4,0.0,17.9,20,20,0,40,57.9
000001001001,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1)","=""000001001001""",False,"{'O11': [], 'O12': ['M'], 'O21': ['M'], 'O22': ['M']}",13,0.0,0.0,0.0,13.0,20,20,5,45,58.0
010000010000,"(0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)","=""010000010000""",False,"{'O11': ['R'], 'O12': [], 'O21': ['R'], 'O22': []}",10,0.0,0.0,3.0,13.0,40,0,5,45,58.0
000001100000,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)","=""000001100000""",False,"{'O11': [], 'O12': ['M'], 'O21': ['H'], 'O22': []}",9,2.0,2.0999999999999996,0.0,13.1,40,0,5,45,58.1
010000000100,"(0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","=""010000000100""",False,"{'O11': ['R'], 'O12': [], 'O21': [], 'O22': ['H']}",12,2.5,2.8,1.0,18.3,40,0,0,40,58.3
011001010100,"(0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0)","=""011001010100""",False,"{'O11': ['R', 'M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",25,2.5,2.8,3.0,33.3,20,0,5,25,58.3
110001100100,"(1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0)","=""110001100100""",False,"{'O11': ['H', 'R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",25,6.0,6.3,1.0,38.3,20,0,0,20,58.3
000010010001,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1)","=""000010010001""",False,"{'O11': [], 'O12': ['R'], 'O21': ['R'], 'O22': ['M']}",12,0.0,0.0,2.0,14.0,20,20,5,45,59.0
001000001001,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1)","=""001000001001""",False,"{'O11': ['M'], 'O12': [], 'O21': ['M'], 'O22': ['M']}",14,0.0,0.0,0.0,14.0,20,20,5,45,59.0
001010001001,"(0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1)","=""001010001001""",False,"{'O11': ['M'], 'O12': ['R'], 'O21': ['M'], 'O22': ['M']}",19,0.0,0.0,0.0,19.0,0,40,0,40,59.0
011001000001,"(0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)","=""011001000001""",False,"{'O11': ['R', 'M'], 'O12': ['M'], 'O21': [], 'O22': ['M']}",18,0.0,0.0,1.0,19.0,40,0,0,40,59.0
001000100000,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)","=""001000100000""",False,"{'O11': ['M'], 'O12': [], 'O21': ['H'], 'O22': []}",10,2.0,2.0999999999999996,0.0,14.1,40,0,5,45,59.1
001010100000,"(0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0)","=""001010100000""",False,"{'O11': ['M'], 'O12': ['R'], 'O21': ['H'], 'O22': []}",15,2.0,2.0999999999999996,0.0,19.1,20,20,0,40,59.1
001100010010,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0)","=""001100010010""",False,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['R']}",23,3.5,5.6,2.0,34.1,0,20,5,25,59.1
100100100010,"(1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0)","=""100100100010""",False,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['R']}",23,7.0,9.1,0.0,39.1,0,20,0,20,59.1
001100110001,"(0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1)","=""001100110001""",False,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H', 'R'], 'O22': ['M']}",24,5.5,7.699999999999999,2.0,39.2,20,0,0,20,59.2
010101100001,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1)","=""010101100001""",False,"{'O11': ['R'], 'O12': ['H', 'M'], 'O21': ['H'], 'O22': ['M']}",25,5.5,7.699999999999999,1.0,39.2,20,0,0,20,59.2
100001100101,"(1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1)","=""100001100101""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H', 'M']}",22,6.0,6.3,0.0,34.3,20,0,5,25,59.3
100100000100,"(1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)","=""100100000100""",False,"{'O11': ['H'], 'O12': ['H'], 'O21': [], 'O22': ['H']}",17,7.5,9.799999999999999,0.0,34.3,20,0,5,25,59.3
001001001000,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0)","=""001001001000""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['M'], 'O22': []}",15,0.0,0.0,0.0,15.0,20,20,5,45,60.0
010010000001,"(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1)","=""010010000001""",False,"{'O11': ['R'], 'O12': ['R'], 'O21': [], 'O22': ['M']}",14,0.0,0.0,1.0,15.0,20,20,5,45,60.0
000001100010,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0)","=""000001100010""",False,"{'O11': [], 'O12': ['M'], 'O21': ['H'], 'O22': ['R']}",16,2.0,2.0999999999999996,0.0,20.1,20,20,0,40,60.1
011100100001,"(0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1)","=""011100100001""",False,"{'O11': ['R', 'M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",26,5.5,7.699999999999999,1.0,40.2,20,0,0,20,60.2
110001010100,"(1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0)","=""110001010100""",False,"{'O11': ['H', 'R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",24,4.0,4.199999999999999,3.0,35.2,20,0,5,25,60.2
000001000100,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0)","=""000001000100""",False,"{'O11': [], 'O12': ['M'], 'O21': [], 'O22': ['H']}",10,2.5,2.8,0.0,15.3,40,0,5,45,60.3
010100001100,"(0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0)","=""010100001100""",False,"{'O11': ['R'], 'O12': ['H'], 'O21': ['M'], 'O22': ['H']}",25,6.0,8.399999999999999,1.0,40.4,0,20,0,20,60.4
100000001001,"(1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)","=""100000001001""",False,"{'O11': ['H'], 'O12': [], 'O21': ['M'], 'O22': ['M']}",13,1.5,1.4,0.0,15.9,20,20,5,45,60.9
100010001001,"(1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1)","=""100010001001""",False,"{'O11': ['H'], 'O12': ['R'], 'O21': ['M'], 'O22': ['M']}",18,1.5,1.4,0.0,20.9,0,40,0,40,60.9
101000010001,"(1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1)","=""101000010001""",False,"{'O11': ['H', 'M'], 'O12': [], 'O21': ['R'], 'O22': ['M']}",16,1.5,1.4,2.0,20.9,40,0,0,40,60.9
110001000001,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1)","=""110001000001""",False,"{'O11': ['H', 'R'], 'O12': ['M'], 'O21': [], 'O22': ['M']}",17,1.5,1.4,1.0,20.9,40,0,0,40,60.9
001010010000,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0)","=""001010010000""",False,"{'O11': ['M'], 'O12': ['R'], 'O21': ['R'], 'O22': []}",14,0.0,0.0,2.0,16.0,20,20,5,45,61.0
010010010001,"(0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1)","=""010010010001""",False,"{'O11': ['R'], 'O12': ['R'], 'O21': ['R'], 'O22': ['M']}",18,0.0,0.0,3.0,21.0,0,20,20,40,61.0
100000100000,"(1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","=""100000100000""",False,"{'O11': ['H'], 'O12': [], 'O21': ['H'], 'O22': []}",9,3.5,3.5,0.0,16.0,40,0,5,45,61.0
100010100000,"(1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0)","=""100010100000""",False,"{'O11': ['H'], 'O12': ['R'], 'O21': ['H'], 'O22': []}",14,3.5,3.5,0.0,21.0,20,20,0,40,61.0
100100010010,"(1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0)","=""100100010010""",False,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['R']}",22,5.0,7.0,2.0,36.0,0,20,5,25,61.0
