read,bitstring,energy,feasible,num_violations,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,schedule
225,100000000000000000000000000000001000000000010000000000000000000000000000,57.5,False,1,12.0,0.6000000000000001,1.5,1.4,2.0,17.5,40.0,0.0,0.0,0.0,0.0,0,40.0,57.5,"{'O11': [{'resource': 'H', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': []}"
226,000000000000010000000000000000000100100000000000000000001000000000000000,35.60000000000002,True,0,20.0,1.2000000000000002,4.5,4.8999999999999995,0.0,30.599999999999998,0.0,0.0,0.0,0.0,0.0,5,5.0,35.599999999999994,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'H', 'start': 2, 'duration': 2, 'end': 4}]}"
227,000000000000000100000000000000000010100000000000000000000000000000010000,27.700000000000017,True,0,17.0,1.6,2.0,2.0999999999999996,0.0,22.700000000000003,0.0,0.0,0.0,0.0,0.0,5,5.0,27.700000000000003,"{'O11': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}]}"
228,010000000000000000000000000000000100100000000000000000000000000000010000,29.0,True,0,16.0,1.0,3.5,3.4999999999999996,0.0,24.0,0.0,0.0,0.0,0.0,0.0,5,5.0,29.0,"{'O11': [{'resource': 'H', 'start': 1, 'duration': 2, 'end': 3}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}]}"
229,000000100000000000000000000000000100001000000000000000000000000000000001,25.099999999999994,True,0,18.0,2.0,2.0,2.0999999999999996,1.0,25.1,0.0,0.0,0.0,0.0,0.0,0,0.0,25.1,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 2, 'duration': 1, 'end': 3}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
230,000000000000100000000000000000000100000100000000000000000000000000000001,28.30000000000001,True,0,17.0,2.2,2.0,2.0999999999999996,0.0,23.299999999999997,0.0,0.0,0.0,0.0,0.0,5,5.0,28.299999999999997,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 3, 'duration': 1, 'end': 4}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
231,010000000000000000000000000000000100000000100000000000000000000000001000,21.100000000000023,True,0,15.0,1.2000000000000002,1.5,1.4,2.0,21.099999999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,21.099999999999998,"{'O11': [{'resource': 'H', 'start': 1, 'duration': 2, 'end': 3}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}]}"
232,010000000000000000000100000000000000000000010000000000000000000000000100,33.60000000000002,True,0,18.0,1.6,5.0,7.0,2.0,33.6,0.0,0.0,0.0,0.0,0.0,0,0.0,33.6,"{'O11': [{'resource': 'H', 'start': 1, 'duration': 2, 'end': 3}], 'O12': [{'resource': 'H', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
233,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,True,0,16.0,0.8,0.0,0.0,2.0,18.8,0.0,0.0,0.0,0.0,0.0,0,0.0,18.8,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 1, 'duration': 2, 'end': 3}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
234,000000100000000000000000000000001000000100000000000000000000000000000001,25.100000000000023,True,0,18.0,2.0,2.0,2.0999999999999996,1.0,25.1,0.0,0.0,0.0,0.0,0.0,0,0.0,25.1,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'H', 'start': 3, 'duration': 1, 'end': 4}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
235,000000000000100000000000000000000100000100000000000000000000000000000001,28.30000000000001,True,0,17.0,2.2,2.0,2.0999999999999996,0.0,23.299999999999997,0.0,0.0,0.0,0.0,0.0,5,5.0,28.299999999999997,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 3, 'duration': 1, 'end': 4}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
236,100000000000000000000000000000000100000000010000000000000100000000000000,29.599999999999994,True,0,18.0,1.4000000000000001,4.0,4.199999999999999,2.0,29.599999999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,29.599999999999998,"{'O11': [{'resource': 'H', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': [{'resource': 'H', 'start': 3, 'duration': 2, 'end': 5}]}"
237,000000100000000000000000000000001000001000000000000000000010000000000000,33.0,True,0,21.0,1.6,4.5,4.8999999999999995,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.0,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'H', 'start': 2, 'duration': 1, 'end': 3}], 'O22': [{'resource': 'H', 'start': 4, 'duration': 2, 'end': 6}]}"
238,000000100000000000000000000000000010001000000000000000000000000000000100,24.900000000000006,True,0,18.0,1.8000000000000003,2.0,2.0999999999999996,1.0,24.9,0.0,0.0,0.0,0.0,0.0,0,0.0,24.9,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 2, 'duration': 1, 'end': 3}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
