config_name,num_reads,num_steps,initial_temperature,final_temperature,reference_cost,best_bitstring,best_energy,best_total_cost,best_feasible,best_total_penalty,best_feasible_cost,mean_feasible_cost,mean_energy,min_energy,max_energy,num_feasible_reads,feasibility_rate,num_zero_penalty_reads,zero_penalty_rate,num_reference_or_better_reads,reference_or_better_rate,improvement_over_reference
steps_1000_T50_to_001,300,1000,50.0,0.01,18.8,000000000000100000000000000000010000000000100000000000000000000000000010,19.0,19.0,True,0.0,19.0,32.888613861386126,44.41033333333335,19.0,102.6,202,0.6733333333333333,115,0.38333333333333336,0,0.0,-0.1999999999999993
steps_3000_T50_to_001,300,3000,50.0,0.01,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,29.439007092198587,31.30733333333333,18.80000000000001,71.0,282,0.94,198,0.66,1,0.0033333333333333335,0.0
steps_5000_T50_to_001,300,5000,50.0,0.01,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,27.179381443298983,28.164,18.80000000000001,63.5,291,0.97,218,0.7266666666666667,3,0.01,0.0
steps_10000_T50_to_001,300,10000,50.0,0.01,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,23.821,23.821,18.80000000000001,40.000000000000014,300,1.0,258,0.86,4,0.013333333333333334,0.0
steps_5000_T20_to_001,300,5000,20.0,0.01,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,30.29444444444443,31.50933333333332,18.80000000000001,73.80000000000001,288,0.96,205,0.6833333333333333,1,0.0033333333333333335,0.0
steps_5000_T100_to_001,300,5000,100.0,0.01,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,26.719191919191918,27.048666666666666,18.80000000000001,63.10000000000001,297,0.99,230,0.7666666666666667,3,0.01,0.0
steps_5000_T50_to_01,300,5000,50.0,0.1,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,25.3789297658863,25.49866666666668,18.80000000000001,61.3,299,0.9966666666666667,244,0.8133333333333334,3,0.01,0.0
steps_5000_T50_to_0001,300,5000,50.0,0.001,18.8,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,18.8,True,0.0,18.8,28.758275862068977,29.798666666666673,18.80000000000001,66.0,290,0.9666666666666667,209,0.6966666666666667,5,0.016666666666666666,0.0
