human_reward,lambda_target,constraint_penalty,num_variables,num_qubo_terms,constant,best_all_energy,best_all_feasible,best_all_human_count,best_all_distance_from_target,best_all_assignment_violations,best_all_overlap_violations,best_all_precedence_violations,best_all_solution,best_feasible_energy,best_feasible_human_count,best_feasible_distance_from_target,best_feasible_solution,feasible_gap
3.0,1.0,5.0,15,105,11.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,1.0,10.0,15,105,21.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,1.0,30.0,15,105,61.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,2.0,1.0,15,105,4.0,2.5999999999999996,False,1,0,1,0,0,op0->human@0-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,1.700000000000001
3.0,2.0,5.0,15,105,12.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,2.0,10.0,15,105,22.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,2.0,30.0,15,105,62.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,3.0,1.0,15,105,5.0,2.5999999999999996,False,1,0,1,0,0,op0->human@0-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,1.700000000000001
3.0,3.0,5.0,15,105,13.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,3.0,10.0,15,105,23.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
3.0,3.0,30.0,15,105,63.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
4.0,0.0,1.0,15,101,2.0,1.5999999999999996,False,1,0,1,0,0,op0->human@0-2,2.1000000000000005,2,1,op0->human@0-2; op1->human@2-3,0.5000000000000009
4.0,0.0,5.0,15,102,10.0,2.1000000000000005,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,2.1000000000000005,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,0.0,10.0,15,102,20.0,2.0999999999999996,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,2.0999999999999996,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,0.0,30.0,15,102,60.0,2.1000000000000014,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,2.1000000000000014,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,0.5,1.0,15,104,2.5,1.5999999999999996,False,1,0,1,0,0,op0->human@0-2,2.5999999999999996,2,1,op0->human@0-2; op1->human@2-3,1.0
4.0,0.5,5.0,15,105,10.5,2.6000000000000005,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,2.6000000000000005,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,0.5,10.0,15,105,20.5,2.5999999999999996,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,2.5999999999999996,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,0.5,30.0,15,105,60.5,2.6000000000000014,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,2.6000000000000014,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,1.0,1.0,15,105,3.0,1.5999999999999996,False,1,0,1,0,0,op0->human@0-2,3.1000000000000005,2,1,op0->human@0-2; op1->human@2-3,1.5000000000000009
4.0,1.0,5.0,15,105,11.0,3.1000000000000005,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,3.1000000000000005,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,1.0,10.0,15,105,21.0,3.0999999999999996,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,3.0999999999999996,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,1.0,30.0,15,105,61.0,3.1000000000000014,True,2,1,0,0,0,op0->human@0-2; op1->human@2-3,3.1000000000000014,2,1,op0->human@0-2; op1->human@2-3,0.0
4.0,2.0,1.0,15,105,4.0,1.5999999999999996,False,1,0,1,0,0,op0->human@0-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,1.700000000000001
4.0,2.0,5.0,15,105,12.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0
4.0,2.0,10.0,15,105,22.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0
4.0,2.0,30.0,15,105,62.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0
4.0,3.0,1.0,15,105,5.0,1.5999999999999996,False,1,0,1,0,0,op0->human@0-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,1.700000000000001
4.0,3.0,5.0,15,105,13.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0
4.0,3.0,10.0,15,105,23.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0
4.0,3.0,30.0,15,105,63.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0
