search_name,cpsat_cost,total_reads,feasible_reads,feasibility_rate,zero_penalty_rate,best_feasible_cost,mean_feasible_cost,best_gap_to_cpsat,mean_gap_to_cpsat
structure_aware_cpsat_seed,57.0,10,7,0.7,0.7,57.0,68.72857142857143,0.0,11.72857142857143
structure_aware_random_seed,57.0,20,13,0.65,0.55,78.4,95.14615384615385,21.400000000000006,38.146153846153844
