seed,instance_file,search_name,read,bitstring,best_cost,feasible,num_violations,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,cpsat_cost,gap_to_cpsat,schedule
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,0,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,37.2,True,0,24.0,12.2,0.0,0.0,1.0,37.2,0.0,0.0,0.0,0.0,0.0,0,0.0,37.2,29.2,8.000000000000004,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 8, 'duration': 2, 'end': 10}], 'O0_2': [{'resource': 'R0', 'start': 12, 'duration': 3, 'end': 15}], 'O1_0': [{'resource': 'M0', 'start': 3, 'duration': 2, 'end': 5}], 'O1_1': [{'resource': 'M2', 'start': 7, 'duration': 1, 'end': 8}], 'O1_2': [{'resource': 'M1', 'start': 10, 'duration': 4, 'end': 14}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 8, 'duration': 3, 'end': 11}], 'O2_2': [{'resource': 'M0', 'start': 13, 'duration': 2, 'end': 15}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,1,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,37.2,True,0,23.0,11.200000000000003,0.0,0.0,3.0,37.2,0.0,0.0,0.0,0.0,0.0,0,0.0,37.2,29.2,8.000000000000004,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 7, 'duration': 2, 'end': 9}], 'O0_2': [{'resource': 'M2', 'start': 11, 'duration': 2, 'end': 13}], 'O1_0': [{'resource': 'R0', 'start': 2, 'duration': 2, 'end': 4}], 'O1_1': [{'resource': 'M2', 'start': 4, 'duration': 1, 'end': 5}], 'O1_2': [{'resource': 'M1', 'start': 12, 'duration': 4, 'end': 16}], 'O2_0': [{'resource': 'M1', 'start': 1, 'duration': 4, 'end': 5}], 'O2_1': [{'resource': 'M2', 'start': 8, 'duration': 3, 'end': 11}], 'O2_2': [{'resource': 'M0', 'start': 11, 'duration': 2, 'end': 13}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,2,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,38.6,True,0,23.0,14.600000000000001,0.0,0.0,1.0,38.6,0.0,0.0,0.0,0.0,0.0,0,0.0,38.6,29.2,9.400000000000002,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 6, 'duration': 2, 'end': 8}], 'O0_2': [{'resource': 'M2', 'start': 11, 'duration': 2, 'end': 13}], 'O1_0': [{'resource': 'M0', 'start': 6, 'duration': 2, 'end': 8}], 'O1_1': [{'resource': 'R0', 'start': 15, 'duration': 1, 'end': 16}], 'O1_2': [{'resource': 'M1', 'start': 16, 'duration': 4, 'end': 20}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 8, 'duration': 3, 'end': 11}], 'O2_2': [{'resource': 'M0', 'start': 11, 'duration': 2, 'end': 13}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,3,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,38.8,True,0,24.0,6.4,2.5,4.8999999999999995,1.0,38.8,0.0,0.0,0.0,0.0,0.0,0,0.0,38.8,29.2,9.599999999999998,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 4, 'duration': 2, 'end': 6}], 'O0_2': [{'resource': 'R0', 'start': 6, 'duration': 3, 'end': 9}], 'O1_0': [{'resource': 'H1', 'start': 1, 'duration': 2, 'end': 3}], 'O1_1': [{'resource': 'M2', 'start': 3, 'duration': 1, 'end': 4}], 'O1_2': [{'resource': 'M1', 'start': 6, 'duration': 4, 'end': 10}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 8, 'duration': 2, 'end': 10}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,4,000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33.4,True,0,23.0,10.399999999999999,0.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0,0.0,33.4,29.2,4.199999999999999,"{'O0_0': [{'resource': 'M0', 'start': 5, 'duration': 3, 'end': 8}], 'O0_1': [{'resource': 'M1', 'start': 9, 'duration': 2, 'end': 11}], 'O0_2': [{'resource': 'M2', 'start': 11, 'duration': 2, 'end': 13}], 'O1_0': [{'resource': 'M0', 'start': 1, 'duration': 2, 'end': 3}], 'O1_1': [{'resource': 'M2', 'start': 4, 'duration': 1, 'end': 5}], 'O1_2': [{'resource': 'M1', 'start': 5, 'duration': 4, 'end': 9}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'R0', 'start': 6, 'duration': 3, 'end': 9}], 'O2_2': [{'resource': 'M0', 'start': 11, 'duration': 2, 'end': 13}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,5,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33.4,True,0,23.0,10.4,0.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0,0.0,33.4,29.2,4.199999999999999,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'R0', 'start': 4, 'duration': 2, 'end': 6}], 'O0_2': [{'resource': 'M2', 'start': 8, 'duration': 2, 'end': 10}], 'O1_0': [{'resource': 'M0', 'start': 5, 'duration': 2, 'end': 7}], 'O1_1': [{'resource': 'M2', 'start': 10, 'duration': 1, 'end': 11}], 'O1_2': [{'resource': 'M1', 'start': 12, 'duration': 4, 'end': 16}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 5, 'duration': 3, 'end': 8}], 'O2_2': [{'resource': 'M0', 'start': 8, 'duration': 2, 'end': 10}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,6,000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33.400000000000006,True,0,23.0,10.400000000000002,0.0,0.0,0.0,33.400000000000006,0.0,0.0,0.0,0.0,0.0,0,0.0,33.400000000000006,29.2,4.200000000000006,"{'O0_0': [{'resource': 'M0', 'start': 3, 'duration': 3, 'end': 6}], 'O0_1': [{'resource': 'M1', 'start': 9, 'duration': 2, 'end': 11}], 'O0_2': [{'resource': 'M2', 'start': 11, 'duration': 2, 'end': 13}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 3, 'duration': 1, 'end': 4}], 'O1_2': [{'resource': 'M1', 'start': 11, 'duration': 4, 'end': 15}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'R0', 'start': 6, 'duration': 3, 'end': 9}], 'O2_2': [{'resource': 'M0', 'start': 9, 'duration': 2, 'end': 11}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,7,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33.0,True,0,23.0,10.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.0,29.2,3.8000000000000007,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 8, 'duration': 2, 'end': 10}], 'O1_0': [{'resource': 'M0', 'start': 4, 'duration': 2, 'end': 6}], 'O1_1': [{'resource': 'M2', 'start': 10, 'duration': 1, 'end': 11}], 'O1_2': [{'resource': 'M1', 'start': 11, 'duration': 4, 'end': 15}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'R0', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 8, 'duration': 2, 'end': 10}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,8,010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,37.0,True,0,23.0,13.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,29.2,7.800000000000001,"{'O0_0': [{'resource': 'M0', 'start': 1, 'duration': 3, 'end': 4}], 'O0_1': [{'resource': 'M1', 'start': 4, 'duration': 2, 'end': 6}], 'O0_2': [{'resource': 'M2', 'start': 14, 'duration': 2, 'end': 16}], 'O1_0': [{'resource': 'M0', 'start': 6, 'duration': 2, 'end': 8}], 'O1_1': [{'resource': 'R0', 'start': 10, 'duration': 1, 'end': 11}], 'O1_2': [{'resource': 'M1', 'start': 14, 'duration': 4, 'end': 18}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 6, 'duration': 3, 'end': 9}], 'O2_2': [{'resource': 'M0', 'start': 10, 'duration': 2, 'end': 12}]}"
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,9,010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33.0,True,0,23.0,10.000000000000002,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.0,29.2,3.8000000000000007,"{'O0_0': [{'resource': 'M0', 'start': 1, 'duration': 3, 'end': 4}], 'O0_1': [{'resource': 'R0', 'start': 6, 'duration': 2, 'end': 8}], 'O0_2': [{'resource': 'M2', 'start': 11, 'duration': 2, 'end': 13}], 'O1_0': [{'resource': 'M0', 'start': 4, 'duration': 2, 'end': 6}], 'O1_1': [{'resource': 'M2', 'start': 7, 'duration': 1, 'end': 8}], 'O1_2': [{'resource': 'M1', 'start': 10, 'duration': 4, 'end': 14}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
