config_name,read,bitstring,energy,feasible,num_violations,zero_penalty,reference_or_better,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,schedule
steps_10000_T50_to_001,86,000000100000000000000000000000000100100000000000000000000000000000001000,24.099999999999994,True,0,True,False,18.0,1.0,2.0,2.0999999999999996,1.0,24.1,0.0,0.0,0.0,0.0,0.0,0,0.0,24.1,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}]}"
steps_10000_T50_to_001,87,000000000000100000000000000000010000000000100000000000000000000000000100,18.80000000000001,True,0,True,True,16.0,0.8,0.0,0.0,2.0,18.8,0.0,0.0,0.0,0.0,0.0,0,0.0,18.8,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 1, 'duration': 2, 'end': 3}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
steps_10000_T50_to_001,88,000000000000100000001000000000000000000000001000000000000000000000000010,31.69999999999999,True,0,True,False,19.0,1.6,3.5,5.6,2.0,31.700000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0,31.700000000000003,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'H', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 2, 'duration': 2, 'end': 4}], 'O22': [{'resource': 'M', 'start': 4, 'duration': 1, 'end': 5}]}"
steps_10000_T50_to_001,89,000000000000010000000000000000001000000000010000000000000000000000000001,19.80000000000001,True,0,True,False,16.0,1.8,0.0,0.0,2.0,19.8,0.0,0.0,0.0,0.0,0.0,0,0.0,19.8,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
steps_10000_T50_to_001,90,000000000000100000000000000000000010100000000000000000000000000000000100,27.5,True,0,False,False,17.0,1.4000000000000001,2.0,2.0999999999999996,0.0,22.5,0.0,0.0,0.0,0.0,0.0,5,5.0,27.5,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
steps_10000_T50_to_001,91,000000000000100000000000000000000010001000000000000000000000000000000100,27.900000000000006,True,0,False,False,17.0,1.8000000000000003,2.0,2.0999999999999996,0.0,22.9,0.0,0.0,0.0,0.0,0.0,5,5.0,27.9,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 2, 'duration': 1, 'end': 3}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
steps_10000_T50_to_001,92,000000000000010000000000000000000100000000100000000000000010000000000000,27.900000000000006,True,0,True,False,19.0,1.6,2.5,2.8,2.0,27.900000000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,27.900000000000002,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'H', 'start': 4, 'duration': 2, 'end': 6}]}"
steps_10000_T50_to_001,93,000000000000100000000000000000000010000000100000000000000000000000000100,19.400000000000006,True,0,True,False,16.0,1.4000000000000001,0.0,0.0,2.0,19.4,0.0,0.0,0.0,0.0,0.0,0,0.0,19.4,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
steps_10000_T50_to_001,94,000000000000010000000000000000001000100000000000000000000000000000000001,27.69999999999999,True,0,False,False,17.0,1.6,2.0,2.0999999999999996,0.0,22.700000000000003,0.0,0.0,0.0,0.0,0.0,5,5.0,27.700000000000003,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
steps_10000_T50_to_001,95,000000100000000000000000000000001000100000000000000000000000000000010000,23.69999999999999,True,0,True,False,18.0,0.6000000000000001,2.0,2.0999999999999996,1.0,23.700000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0,23.700000000000003,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}]}"
