human_reward,human_assignments_mean,human_assignments_std,human_assignments_min,human_assignments_max,reward_adjusted_objective_mean,reward_adjusted_objective_std,reward_adjusted_objective_min,reward_adjusted_objective_max,total_cost_without_reward_mean,total_cost_without_reward_std,total_cost_without_reward_min,total_cost_without_reward_max,start_time_cost_mean,start_time_cost_std,start_time_cost_min,start_time_cost_max,assignment_cost_mean,assignment_cost_std,assignment_cost_min,assignment_cost_max,workload_mean,workload_std,workload_min,workload_max,ergonomic_mean,ergonomic_std,ergonomic_min,ergonomic_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max
0.0,0.0,0.0,0,0,45.685,1.3283343789205415,44.15,47.849999999999994,45.685,1.3283343789205415,44.15,47.849999999999994,5.355,1.168676839659089,3.75,6.8500000000000005,40.33,0.37133393177689483,39.6,40.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8539461612701416,0.07541419001784211,1.755730152130127,2.0127499103546143
0.5,0.0,0.0,0,0,45.685,1.3283343789205415,44.15,47.849999999999994,45.685,1.3283343789205415,44.15,47.849999999999994,5.3950000000000005,1.2307292327902366,3.75,7.249999999999999,40.290000000000006,0.3071373199943838,39.6,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8502829551696778,0.06848438488184969,1.7498960494995115,1.9707939624786377
1.0,0.0,0.0,0,0,45.685,1.3283343789205422,44.15,47.849999999999994,45.685,1.3283343789205422,44.15,47.849999999999994,5.355,1.1809718220365992,3.75,7.05,40.33,0.3591656999213578,39.6,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8475866794586182,0.0534394960943402,1.7481157779693604,1.9289898872375488
1.5,0.0,0.0,0,0,45.685,1.3283343789205422,44.15,47.849999999999994,45.685,1.3283343789205422,44.15,47.849999999999994,5.355,1.1809718220365992,3.75,7.05,40.33,0.3591656999213578,39.6,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8588831186294557,0.028437709074125208,1.8157720565795896,1.902752161026001
2.0,1.4,0.699205898780101,0,2,45.475,1.2728467656748366,44.05,47.55,48.275,1.7820478232764836,46.05,50.55,5.235,1.19514062398996,3.75,6.8500000000000005,40.74,0.33730961708462537,40.2,41.2,1.4,0.699205898780101,0.0,2.0,0.9,0.4472135954999579,0.0,1.5,1.8411076307296752,0.04771915787966589,1.7471282482147217,1.916125774383545
2.5,4.0,1.247219128924647,3,7,44.225,1.4320245963126605,42.45,46.55,54.225,2.6500786151860987,50.9,59.95,5.175,1.2318121249245402,3.65,6.95,41.7,0.6699917080747243,40.900000000000006,43.2,4.5,1.5275252316519465,3.0,8.0,2.85,0.8860022573334678,2.1,5.1000000000000005,1.830045509338379,0.05645998397511949,1.756673812866211,1.9226832389831543
3.0,8.8,1.1352924243950933,6,10,41.269999999999996,1.903972455449685,38.599999999999994,44.54999999999999,67.67,2.2623979412217596,62.54999999999999,70.60000000000001,5.51,1.2920268315067347,3.7,7.249999999999999,44.029999999999994,0.9978309810116487,42.09999999999999,45.4,10.9,1.776388345929897,7.5,13.5,7.2299999999999995,1.1175866856758807,5.699999999999999,9.0,1.8528959512710572,0.06202681880803786,1.75221586227417,1.9391491413116455
3.5,12.2,1.6865480854231358,10,15,35.895,2.454977936085512,32.5,40.2,78.595,4.480355268651506,73.75000000000001,87.05000000000001,6.215000000000001,1.5811476141644014,4.05,8.4,45.95,1.2791055902899944,44.3,49.1,15.6,2.024845673131659,13.0,18.5,10.83,2.2514439810930225,7.199999999999999,14.4,2.04877290725708,0.30998296014521587,1.7609341144561768,2.7102138996124268
4.0,14.2,1.1352924243950935,12,16,29.304999999999996,3.0131609463964764,25.44999999999999,34.7,86.10499999999999,3.0773771299598613,82.7,92.15,7.235000000000001,1.8012418555602752,5.050000000000001,9.500000000000002,47.160000000000004,1.5349267083479914,45.3,50.5,19.05,1.8020050561034016,16.5,23.0,12.66,1.5283978539634235,11.099999999999998,15.599999999999998,2.4204665422439575,0.9220639113529127,1.839402198791504,4.532936334609985
